id,layer,rep,machine,day,year,month,Photo,Cond,Ci,Tleaf,CO2R,PARi,Ci_Pa
helianthus,,172,,,2010,7,27.93745477,0.176664044,507.1108011,24.44074631,799.7181396,1519.462524,50.09684973
helianthus,,172,,,2010,7,28.49223655,0.182906008,705.8774933,24.29261398,999.769043,1519.880005,69.73874358
helianthus,,172,,,2010,7,7.570154804,0.162478108,311.5657351,23.37379837,400.2934875,206.0611267,30.77976229
helianthus,,172,,,2010,7,5.696142526,0.161887623,331.0620259,23.36393738,400.2298584,152.8815613,32.70656502
helianthus,,172,,,2010,7,3.894407522,0.163863752,350.63961,23.28673553,400.2226868,103.7875671,34.63985058
helianthus,,172,,,2010,7,1.568332874,0.16429867,374.9992083,23.17136574,400.1015015,45.35299683,37.04570007
helianthus,,172,,,2010,7,-1.017945258,0.162605259,402.133964,23.12480164,400.0969849,2.089069605,39.72624708
heliopsis,,171,,,2010,7,20.72861677,0.26446882,249.0222919,23.64492607,400.2854004,1490.973877,24.5860876
heliopsis,,171,,,2010,7,16.02421698,0.274762682,186.5186884,23.90377235,299.7522278,1487.636841,18.41485554
heliopsis,,171,,,2010,7,10.06933525,0.282361853,130.0099912,24.00293922,199.9386292,1487.068848,12.83587695
heliopsis,,171,,,2010,7,5.189049749,0.29032866,88.47486548,23.93008232,124.2581329,1487.752075,8.735127816
heliopsis,,171,,,2010,7,1.83265358,0.29641952,61.93213471,23.83582687,75.18000031,1488.395142,6.114466312
heliopsis,,171,,,2010,7,-0.25793775,0.30216247,49.28566755,23.77228546,49.01115417,1489.031616,4.865909447
heliopsis,,171,,,2010,7,-0.826765764,0.30598571,44.28985667,23.77041245,40.40320587,1488.968506,4.372912732
heliopsis,,171,,,2010,7,19.73045684,0.312938532,275.4279908,23.71782684,401.5298157,1488.618408,27.19405293
heliopsis,,171,,,2010,7,24.46998962,0.314877141,442.3623532,23.8103981,600.7435913,1487.454834,43.67789257
heliopsis,,171,,,2010,7,26.30441235,0.297020582,617.7076529,23.87739182,800.0373535,1487.327515,60.99058609
heliopsis,,171,,,2010,7,28.15521416,0.22354739,751.8546247,23.93869972,1000.4151,1488.743408,74.23687354
heliopsis,,171,,,2010,7,6.31932618,0.125156697,304.8542245,22.98166847,399.6664429,196.0817108,30.10304754
heliopsis,,171,,,2010,7,4.973585384,0.116769526,318.3434797,22.94303513,399.5596924,150.6545868,31.43537668
heliopsis,,171,,,2010,7,3.423959608,0.103523252,334.6112814,22.94818306,399.5620728,101.839035,33.04317804
heliopsis,,171,,,2010,7,1.673004506,0.093084139,359.8479227,22.9026432,399.490509,55.61689377,35.53583345
heliopsis,,171,,,2010,7,-1.099741832,0.08430033,411.2661342,22.68562508,399.4439392,-0.669151247,40.61574691
heliopsis,,172,,,2010,7,16.4564121,0.182617428,216.9506773,24.25966263,400.2418518,1535.346436,21.48570947
heliopsis,,172,,,2010,7,14.7163723,0.324678225,212.0517559,24.54786682,299.8734131,1532.306763,21.00120002
heliopsis,,172,,,2010,7,9.351782067,0.263685276,132.4824378,24.77986145,199.1138763,1530.984375,13.12091521
heliopsis,,172,,,2010,7,4.941609949,0.242457388,85.95663976,24.56332779,123.9712677,1533.505249,8.512757448
heliopsis,,172,,,2010,7,1.925754976,0.224958497,58.48463321,24.42196274,74.60434723,1534.744873,5.791873263
heliopsis,,172,,,2010,7,0.100954805,0.235043445,48.24232081,24.30548859,49.62969589,1535.082275,4.777224601
heliopsis,,172,,,2010,7,-1.190394048,0.326693733,31.07550724,24.52429008,24.63595581,1532.957764,3.077232236
heliopsis,,172,,,2010,7,17.4542152,0.307942082,295.4680215,24.63423347,400.4664917,1530.918823,29.25693592
heliopsis,,172,,,2010,7,20.5925332,0.286673607,460.6105129,24.55317497,599.2006836,1532.397705,45.60623214
heliopsis,,172,,,2010,7,21.88866891,0.274181737,644.6377549,24.35152245,799.2122192,1533.952271,63.82446414
heliopsis,,172,,,2010,7,7.918024194,0.247825945,338.9863488,22.66175652,399.4441833,206.3761444,33.5571321
heliopsis,,172,,,2010,7,6.069412024,0.274359564,355.8773401,22.774086,399.2357178,156.5294495,35.22759664
heliopsis,,172,,,2010,7,4.133378688,0.251958485,366.3438051,22.79174995,399.0371399,100.9334793,36.2620219
heliopsis,,172,,,2010,7,1.900477862,0.202248483,378.9814527,22.52510071,398.480957,49.08475113,37.51364414
heliopsis,,172,,,2010,7,-0.328937024,0.124207444,401.5462133,22.27847672,399.8503418,-1.082489967,39.74790996
