Wavelength,Reflectance,Transmittance
644,0.039203449,0.051461675
645,0.038941028,0.050086369
646,0.038670498,0.048780798
647,0.038345632,0.047592886
648,0.038089996,0.046420172
649,0.037854844,0.04538043
650,0.037647141,0.044475081
651,0.03750527,0.043632034
652,0.037401057,0.042947857
653,0.037277459,0.042374282
654,0.037095674,0.041818466
655,0.037020333,0.041224391
656,0.036939061,0.0405586
657,0.036773287,0.039796101
658,0.0366212,0.038914453
659,0.036465322,0.037921701
660,0.036308425,0.036839266
661,0.03618183,0.035708602
662,0.036034106,0.034530179
663,0.035886454,0.033316132
664,0.035791234,0.03208591
665,0.035690202,0.030859303
666,0.035621724,0.029745527
667,0.035624838,0.028819089
668,0.035654949,0.027908179
669,0.035674881,0.027042479
670,0.035696333,0.026279593
671,0.035834089,0.02574599
672,0.036011122,0.025314573
673,0.036194923,0.024943579
674,0.036378115,0.02465939
675,0.036591637,0.024510535
676,0.036827828,0.024464426
677,0.037076346,0.024463162
678,0.037418273,0.024507089
679,0.037809028,0.024643805
680,0.038197067,0.024930641
681,0.038556338,0.025425336
682,0.03894197,0.02613592
683,0.039378885,0.027108506
684,0.039857455,0.0284458
685,0.040317638,0.030126077
686,0.040768625,0.032221482
687,0.041261011,0.034849998
688,0.041864848,0.038034245
689,0.04258337,0.041867169
690,0.043432865,0.04643597
691,0.044542294,0.051719133
692,0.046039622,0.057829717
693,0.048031995,0.064822795
694,0.050579279,0.072642311
695,0.05383266,0.0812377
696,0.057860944,0.090522694
697,0.062663445,0.100363792
698,0.068226972,0.110671478
699,0.074551018,0.121331377
700,0.081613559,0.132208654
701,0.089310249,0.143153922
702,0.097504324,0.154079524
703,0.10606285,0.164894328
704,0.114877512,0.175464604
705,0.123862823,0.185722977
706,0.132959713,0.195658681
707,0.142142403,0.205332901
708,0.151348473,0.214718845
709,0.160550182,0.223835777
710,0.169744504,0.232727165
711,0.178951289,0.241478069
712,0.188145876,0.250058389
713,0.197319101,0.258441524
714,0.206564521,0.2667329
715,0.215771731,0.274869661
716,0.224901216,0.282839305
717,0.234061593,0.290747708
718,0.2432025,0.298533664
719,0.252291509,0.306181106
720,0.261316325,0.313706455
721,0.270245306,0.321119861
722,0.279067152,0.328400689
723,0.287787389,0.335528291
724,0.296364064,0.342447647
725,0.304765921,0.349174449
726,0.312976832,0.355724201
727,0.320969725,0.362073977
728,0.32873449,0.368199657
729,0.336255913,0.374106131
730,0.343514323,0.3798202
731,0.350492256,0.38527659
732,0.357189735,0.390485011
733,0.363606951,0.39547526
734,0.369710767,0.400198523
735,0.375512856,0.404687827
736,0.381024626,0.408960635
737,0.386231994,0.412952149
738,0.391156032,0.416743314
739,0.395795358,0.420337304
740,0.400113545,0.423633475
741,0.404130321,0.426718003
742,0.407879687,0.429587523
743,0.411394219,0.432211193
744,0.414577518,0.43470675
745,0.417493152,0.436979761
746,0.420201802,0.438962409
747,0.422657977,0.440828153
748,0.424871079,0.442516784
749,0.426859778,0.4440129
750,0.428662508,0.445379279
751,0.430312975,0.44661535
752,0.431800183,0.44771166
753,0.43309195,0.448657912
754,0.434260272,0.449543093
755,0.435295021,0.45035978
756,0.436187587,0.451085516
757,0.437006888,0.45172994
758,0.437738404,0.452298719
759,0.438374922,0.452808155
760,0.438926146,0.453298961
761,0.439411996,0.453747795
762,0.439827299,0.454135755
763,0.440155895,0.454445266
764,0.440475248,0.454681105
765,0.4407634,0.454883899
766,0.440980036,0.455091798
767,0.441105749,0.455292838
768,0.441217164,0.455457425
769,0.441343154,0.455580481
770,0.441417608,0.455703145
771,0.441480264,0.455810288
772,0.44154648,0.455914057
773,0.441617591,0.456040027
774,0.441621287,0.456145639
775,0.441607669,0.456251144
776,0.441633297,0.456375733
777,0.441632281,0.456449385
778,0.441641205,0.456562509
779,0.441675719,0.456740689
780,0.441707824,0.456877418
781,0.441717209,0.456971378
782,0.441718965,0.457067523
783,0.44174989,0.457244417
784,0.441747439,0.457405603
785,0.441735398,0.457535045
786,0.441743877,0.45764603
787,0.441733967,0.457796684
788,0.441728395,0.457948027
789,0.441741812,0.458088302
790,0.441774205,0.458267201
791,0.441797874,0.45844441
792,0.441820325,0.458602556
793,0.441867576,0.458738506
794,0.441906613,0.458923434
795,0.441928162,0.45911815
796,0.441934063,0.459273063
797,0.441948699,0.4593973
798,0.441960214,0.459544837
799,0.441962201,0.459728212
800,0.441956488,0.459890836
801,0.441962172,0.460072728
802,0.441976291,0.460260539
803,0.44198514,0.460419278
804,0.441994481,0.460584268
805,0.442013587,0.460750549
806,0.442050173,0.460912244
807,0.442112809,0.461092183
808,0.442132236,0.461230671
809,0.442113386,0.461345543
810,0.442160725,0.46156344
811,0.442188089,0.461766445
812,0.442194486,0.46193051
813,0.442207431,0.462071228
814,0.44220803,0.462234914
815,0.442212323,0.462380088
816,0.442232678,0.462492509
817,0.442260977,0.462673761
818,0.44228733,0.462869755
819,0.442318073,0.463050284
820,0.442376231,0.463204568
821,0.442360243,0.463370135
822,0.442314723,0.463502833
823,0.442317459,0.463570179
824,0.442331912,0.463790471
825,0.442353139,0.464014125
826,0.442379103,0.464153432
827,0.442414353,0.464322368
828,0.442414581,0.464466803
829,0.44238871,0.464575253
830,0.442379917,0.464663692
831,0.442358859,0.464811687
832,0.442327473,0.464978507
833,0.4423015,0.46510916
834,0.442333576,0.465215856
835,0.442334781,0.465322386
836,0.442295741,0.465463445
837,0.442330425,0.465701542
838,0.442336701,0.465854583
839,0.442325195,0.465961021
840,0.442344359,0.466139046
841,0.442348895,0.466264037
842,0.442350171,0.466361505
843,0.442355807,0.466468768
844,0.442343404,0.466598416
845,0.44231904,0.466746369
846,0.442299053,0.46690421
847,0.442308967,0.467058985
848,0.442308637,0.467212999
849,0.44230718,0.467357708
850,0.442318771,0.467488687
851,0.442313121,0.467643655
852,0.442313484,0.467728903
853,0.442325414,0.467766075
854,0.442321924,0.468001857
855,0.442305186,0.468134817
856,0.442282386,0.468176784
857,0.442262331,0.468275361
858,0.442225192,0.468394174
859,0.442183785,0.468530118
860,0.442154519,0.468662461
861,0.442159374,0.46870473
862,0.442118657,0.468759131
863,0.442048715,0.468880612
864,0.442045029,0.469082386
865,0.442044033,0.469197381
866,0.442020184,0.46929532
867,0.441971356,0.469450038
868,0.441962459,0.469416481
869,0.441948081,0.469490545
870,0.441906319,0.46972223
871,0.441852615,0.469759635
872,0.441813291,0.469944859
873,0.441769931,0.470158185
874,0.441697545,0.470147264
875,0.441680592,0.47014585
876,0.441660926,0.470212298
877,0.441602018,0.470342956
878,0.441544608,0.470441843
879,0.441509929,0.470547283
880,0.441492345,0.47062324
881,0.441467416,0.470605395
882,0.441434093,0.470702564
883,0.441387795,0.470848815
884,0.441330922,0.47095839
885,0.441290763,0.471072544
886,0.441220468,0.471135824
887,0.441139896,0.471183685
888,0.441130294,0.471337579
889,0.441073955,0.471375291
890,0.4409886,0.471380954
891,0.440918433,0.4714763
892,0.440850167,0.471525028
893,0.44080022,0.471685035
894,0.440764989,0.471922814
895,0.440712881,0.471921451
896,0.440664999,0.471878063
897,0.44060928,0.47189728
898,0.440532847,0.472030304
899,0.440487055,0.47214277
900,0.440457334,0.472286117
901,0.440424119,0.472418338
902,0.440369509,0.472254261
903,0.440283876,0.472365153
904,0.440192345,0.472583045
905,0.440130223,0.472480556
906,0.440052756,0.472657893
907,0.439980682,0.472813139
908,0.439931368,0.47275781
909,0.439902031,0.472804674
910,0.439866158,0.472925126
911,0.439797458,0.473038082
912,0.439680044,0.473029254
913,0.439613027,0.472990962
914,0.43956042,0.473062896
915,0.439486278,0.473262611
916,0.439413828,0.473247396
917,0.439336218,0.473345397
918,0.439256706,0.473528995
919,0.43918503,0.473542247
920,0.439132546,0.473520848
921,0.439056134,0.47345348
922,0.43892971,0.473384411
923,0.438799823,0.473629695
924,0.438688945,0.473728823
925,0.438594198,0.473661066
926,0.438492673,0.473731002
927,0.438403935,0.473634035
928,0.438301318,0.473551427
929,0.438162287,0.473655038
930,0.437999014,0.473784667
931,0.437852734,0.473896203
932,0.437714397,0.473956743
933,0.437537838,0.473948298
934,0.437403475,0.473909319
935,0.437260165,0.473725492
936,0.437068666,0.473395828
937,0.436921836,0.473371179
938,0.436725535,0.473529342
939,0.436490455,0.473619311
940,0.43630459,0.473315651
941,0.436063005,0.473173838
942,0.435834088,0.473165371
943,0.435661802,0.473141365
944,0.435405783,0.472964438
945,0.435185913,0.472841643
946,0.434959823,0.472720928
947,0.434586963,0.4723912
948,0.434348621,0.472428377
949,0.43411077,0.472305186
950,0.433745761,0.471721146
951,0.433353905,0.471618056
952,0.432961609,0.47147744
953,0.432585457,0.471290976
954,0.432229215,0.471324357
955,0.431867474,0.471130082
956,0.431533178,0.470798804
957,0.431218293,0.470501776
958,0.430780678,0.470406784
959,0.430403339,0.470195341
960,0.43013028,0.469886193
961,0.429921025,0.469680029
962,0.429674553,0.469637269
963,0.429419632,0.469628439
964,0.42918167,0.469506935
965,0.42894154,0.469103851
966,0.428715504,0.468964838
967,0.428528663,0.469164574
968,0.428399493,0.469460258
969,0.428282376,0.468997819
970,0.428175001,0.468874251
971,0.428082787,0.469307188
972,0.428018253,0.468964029
973,0.427915688,0.469125912
974,0.427798558,0.469344066
975,0.427721108,0.468926896
976,0.427741846,0.46870717
977,0.427699861,0.468736285
978,0.427585863,0.468876826
979,0.427550761,0.468825558
980,0.427485563,0.468597468
981,0.427443783,0.468710487
982,0.427466121,0.469356723
983,0.427435845,0.46929769
984,0.427460523,0.469183466
985,0.427501215,0.469181519
986,0.427441191,0.469161863
987,0.427459201,0.46944048
988,0.427498174,0.469498281
989,0.427520186,0.469175295
990,0.427609565,0.469357693
991,0.427608687,0.469236731
992,0.427555295,0.469026151
993,0.427566712,0.469201299
994,0.427701487,0.469093282
995,0.427809308,0.469151285
996,0.427829559,0.469346345
997,0.427832628,0.468971896
998,0.427755824,0.468995975
999,0.427781155,0.469502038
1000,0.428011336,0.470165302
1001,0.42813915,0.470367364
1002,0.428164535,0.470112683
1003,0.428121489,0.470233491
1004,0.42822454,0.470864248
1005,0.428283279,0.471327699
1006,0.428314999,0.471291733
1007,0.428432252,0.471415294
1008,0.428469072,0.471554247
1009,0.428547657,0.471640618
1010,0.428730754,0.471750523
1011,0.428873787,0.471884893
1012,0.428951542,0.471985347
1013,0.429074193,0.47211907
1014,0.429169397,0.472265519
1015,0.42916272,0.472385127
1016,0.429228465,0.472702356
1017,0.42935978,0.47324057
1018,0.429453976,0.473541183
1019,0.429493274,0.473521381
1020,0.429543575,0.473838318
1021,0.42958086,0.473585709
1022,0.429657011,0.473270713
1023,0.429787341,0.473669855
1024,0.429969608,0.474066515
1025,0.430141513,0.47437197
1026,0.430250891,0.474777407
1027,0.430338463,0.475182181
1028,0.430363145,0.475794918
1029,0.430421203,0.475856443
1030,0.430486032,0.475529993
