Wavelength,Reflectance,Transmittance
693,0.0579,0.1029
694,0.0621,0.1151
695,0.0667,0.1279
696,0.072,0.142
697,0.0784,0.1556
698,0.0853,0.1701
699,0.0927,0.1836
700,0.1004,0.1979
701,0.1087,0.2115
702,0.1171,0.2238
703,0.1256,0.2364
704,0.1344,0.2486
705,0.1426,0.2608
706,0.151,0.2719
707,0.16,0.2821
708,0.1687,0.2925
709,0.1759,0.3032
710,0.1837,0.3126
711,0.1923,0.3214
712,0.2006,0.3304
713,0.2092,0.3391
714,0.2169,0.3475
715,0.225,0.3568
716,0.2334,0.3658
717,0.2406,0.3746
718,0.2485,0.3831
719,0.2559,0.3899
720,0.2632,0.3982
721,0.2721,0.4068
722,0.2781,0.4135
723,0.286,0.4206
724,0.2926,0.4265
725,0.2999,0.4346
726,0.3061,0.4417
727,0.3121,0.4459
728,0.3174,0.4533
729,0.3251,0.4591
730,0.3304,0.4638
731,0.3353,0.4694
732,0.3403,0.4748
733,0.3455,0.4785
734,0.3512,0.4832
735,0.3541,0.4863
736,0.3575,0.4896
737,0.364,0.4955
738,0.3673,0.4976
739,0.368,0.5007
740,0.3706,0.5035
741,0.3748,0.5066
742,0.376,0.5079
743,0.3797,0.5118
744,0.3809,0.5136
745,0.3839,0.5151
746,0.3852,0.5185
747,0.3869,0.5201
748,0.3884,0.5206
749,0.3905,0.5224
750,0.3939,0.5235
751,0.3943,0.5231
752,0.3929,0.5255
753,0.3928,0.525
754,0.3958,0.5248
755,0.3973,0.5277
756,0.3999,0.5294
757,0.3974,0.532
758,0.3978,0.5322
759,0.3992,0.5332
760,0.4004,0.5334
761,0.4007,0.5323
762,0.4006,0.5335
763,0.4007,0.5323
764,0.4013,0.5321
765,0.4011,0.533
766,0.4023,0.5339
767,0.3999,0.5318
768,0.4039,0.5356
769,0.4032,0.535
770,0.4037,0.535
771,0.4048,0.5372
772,0.4044,0.5364
773,0.4038,0.5376
774,0.4019,0.5346
775,0.4027,0.5355
776,0.4019,0.5374
777,0.4045,0.5354
778,0.4037,0.5367
779,0.402,0.5363
780,0.4028,0.5375
781,0.4043,0.537
782,0.4036,0.5353
783,0.4031,0.5364
784,0.4041,0.5371
785,0.4045,0.5376
786,0.4046,0.5384
787,0.4025,0.5395
788,0.4065,0.5381
789,0.4057,0.5404
790,0.403,0.5413
791,0.4009,0.5372
792,0.4015,0.5363
793,0.4043,0.5407
794,0.4017,0.5359
795,0.4024,0.5362
796,0.4028,0.537
797,0.4032,0.5386
798,0.3999,0.5362
799,0.4032,0.536
800,0.4035,0.5402
801,0.4032,0.5421
802,0.4023,0.5394
803,0.4041,0.5388
804,0.4025,0.542
805,0.4008,0.5415
806,0.4036,0.5407
807,0.4066,0.5431
808,0.4038,0.542
809,0.4064,0.543
810,0.4045,0.5403
811,0.405,0.5396
812,0.4027,0.5398
813,0.4016,0.5404
814,0.4028,0.5417
815,0.4036,0.5407
816,0.4069,0.5428
817,0.4067,0.5404
818,0.4027,0.5433
819,0.406,0.5423
820,0.404,0.5436
821,0.4048,0.5422
822,0.4046,0.5407
823,0.4018,0.5406
824,0.4032,0.5409
825,0.405,0.5401
826,0.405,0.5414
827,0.4047,0.5439
828,0.4018,0.5441
829,0.4068,0.5408
830,0.4037,0.5407
831,0.4065,0.5471
832,0.4048,0.5469
833,0.4008,0.5406
834,0.4046,0.5475
835,0.4058,0.5478
836,0.4057,0.5428
837,0.4051,0.5456
838,0.4037,0.5431
839,0.4043,0.5455
840,0.4048,0.5476
841,0.4036,0.5458
842,0.4054,0.5418
843,0.4047,0.5431
844,0.4038,0.5458
845,0.4096,0.5453
846,0.405,0.5459
847,0.4098,0.5417
848,0.4093,0.5461
849,0.4064,0.5491
850,0.4071,0.5457
851,0.4095,0.5459
852,0.4047,0.5493
853,0.4076,0.5492
854,0.4063,0.5406
855,0.4003,0.5452
856,0.4072,0.549
857,0.4047,0.5419
858,0.4065,0.546
859,0.4112,0.5472
860,0.4045,0.5383
861,0.405,0.5474
862,0.4049,0.5501
863,0.4048,0.549
864,0.4039,0.5474
865,0.4042,0.5485
866,0.4046,0.5479
867,0.4041,0.5479
868,0.404,0.5478
869,0.4034,0.5479
870,0.4045,0.5489
871,0.4053,0.5481
872,0.4046,0.5485
873,0.4048,0.5491
874,0.405,0.5486
875,0.4049,0.5491
876,0.4039,0.5477
877,0.4046,0.5487
878,0.4049,0.5492
879,0.4047,0.5484
880,0.404,0.5485
881,0.4048,0.5486
882,0.4044,0.5497
883,0.4049,0.5495
884,0.4051,0.5493
885,0.4046,0.5494
886,0.4047,0.5494
887,0.4047,0.5488
888,0.4046,0.5489
889,0.4049,0.5491
890,0.4051,0.5494
891,0.4053,0.5491
892,0.4051,0.5493
893,0.4053,0.5487
894,0.4059,0.5491
895,0.4052,0.5494
896,0.405,0.55
897,0.4052,0.55
898,0.4054,0.5498
899,0.4046,0.5491
900,0.4039,0.5508
901,0.4052,0.5498
902,0.404,0.5496
903,0.4044,0.5504
904,0.405,0.5496
905,0.4047,0.5503
906,0.405,0.5495
907,0.4053,0.5495
908,0.4057,0.5496
909,0.4047,0.5497
910,0.4049,0.5509
911,0.4048,0.5511
912,0.404,0.55
913,0.4042,0.5493
914,0.4059,0.5496
915,0.4043,0.5509
916,0.4047,0.5502
917,0.4039,0.5503
918,0.4038,0.5501
919,0.4037,0.5499
920,0.4041,0.5499
921,0.4048,0.5509
922,0.4047,0.5501
923,0.4045,0.5504
924,0.4038,0.5503
925,0.4047,0.5505
926,0.4046,0.5499
927,0.4044,0.5509
928,0.4047,0.5504
929,0.4044,0.5507
930,0.4055,0.5515
