"crop_number","crop_name","landiq_class","landiq_subclass","landiq_subclass_name","landiq_match","percent_season_B","percent_season_C","percent_season_D","KcB","KcC","KcD","KcE","planting_month","planting_day","harvest_month","harvest_day"
1.44,"Vegetables","T","18","Miscellaneous truck","exact",33,67,92,0.8,0.9,0.9,0.9,3,1,8,31
1.45,"Wheat","G","2","Wheat","exact",20,45,75,0.33,1.1,1.1,0.15,11,1,5,31
1.46,"Watermelon","T","9","Melons, squash, and cucumbers (all types)","exact",20,50,75,0.8,1.0,1.0,0.75,4,1,11,15
2.01,"Alfalfa (annual)","P","1","Alfalfa & alfalfa mixtures","exact",25,50,75,1.0,1.0,1.0,1.0,1,1,12,31
2.02,"Improved Pasture","P","3","Mixed pasture","exact",25,50,75,0.95,0.95,0.95,0.95,1,1,12,31
2.03,"Turfgrass (cool-season)","P","6","Miscellaneous grasses","exact",25,50,75,0.8,0.8,0.8,0.8,1,1,12,31
2.04,"Turfgrass (warm-season)","P","6","Miscellaneous grasses","exact",25,50,75,0.6,0.6,0.6,0.6,1,1,12,31
3.01,"Almonds","D","12","Almonds","exact",0,50,90,0.55,1.15,1.15,0.65,3,1,10,15
3.02,"Apple","D","1","Apples","exact",0,50,75,0.55,1.05,1.05,0.8,4,1,11,15
3.03,"Grapes (wine)","V","2","Wine grapes","exact",0,25,75,0.45,0.8,0.8,0.35,4,1,10,1
3.04,"Grapes (table)","V","1","Table grapes","exact",0,25,75,0.45,1.1,1.1,0.35,3,15,9,10
3.05,"Grapes (raisin)","V","3","Raisin grapes","exact",0,25,75,0.45,1.1,1.1,0.35,3,15,9,10
3.06,"Kiwifruit","C","8","Kiwis","exact",0,22,67,0.3,1.05,1.05,1.0,5,1,10,31
3.07,"Stone fruits","D","11","Mixed deciduous","exact",0,50,90,0.55,1.15,1.15,0.65,3,1,10,15
3.08,"Walnuts","D","13","Walnuts","exact",0,50,75,0.55,1.15,1.15,0.8,4,1,11,15
4.01,"Avocado","C","5","Avocados","exact",0,33,67,0.7,0.7,0.7,0.7,1,1,12,31
4.02,"Citrus (>3.8 m tall)","C","NA","Citrus and subtropical, subclass not specified","exact",0,33,67,1.0,1.0,1.0,1.0,1,1,12,31
4.03,"Citrus (<3.0 m tall)","C","NA","Citrus and subtropical, subclass not specified","exact",0,33,67,0.7,0.7,0.7,0.7,1,1,12,31
4.04,"Date Palm","C","4","Dates","exact",0,33,67,0.95,0.95,0.95,0.95,1,1,12,31
4.05,"Evergreen","C","NA","Citrus and subtropical, subclass not specified","exact",0,33,67,1.15,1.15,1.15,1.15,1,1,12,31
4.06,"Olives","C","6","Olives","exact",0,33,67,0.7,0.55,0.55,0.7,1,1,12,31
1.47,"Sudan grass","F","8","Sudan","exact",33,67,87,0.5,1.15,1.15,1.1,7,18,9,30
3.48,"Sugarcane","F","15","Sugar cane","exact",0,17,68,0.4,1.25,1.25,0.75,5,15,5,14
3.07,"Stone fruits","D","NA","(no subclass)","fallback",0,50,90,0.55,1.15,1.15,0.65,3,1,10,15
3.07,"Stone fruits","D","2","Apricots","fallback",0,50,90,0.55,1.15,1.15,0.65,3,1,10,15
3.07,"Stone fruits","D","3","Cherries","fallback",0,50,90,0.55,1.15,1.15,0.65,3,1,10,15
3.07,"Stone fruits","D","5","Peaches and nectarines","fallback",0,50,90,0.55,1.15,1.15,0.65,3,1,10,15
3.02,"Apple","D","6","Pears","fallback",0,50,75,0.55,1.05,1.05,0.8,4,1,11,15
3.07,"Stone fruits","D","7","Plums","fallback",0,50,90,0.55,1.15,1.15,0.65,3,1,10,15
3.07,"Stone fruits","D","8","Prunes","fallback",0,50,90,0.55,1.15,1.15,0.65,3,1,10,15
3.07,"Stone fruits","D","10","Plums/Prunes/Apricots (grouped)","fallback",0,50,90,0.55,1.15,1.15,0.65,3,1,10,15
3.01,"Almonds","D","14","Pistachios","fallback",0,50,90,0.55,1.15,1.15,0.65,3,1,10,15
3.07,"Stone fruits","D","15","Pomegranates","fallback",0,50,90,0.55,1.15,1.15,0.65,3,1,10,15
3.08,"Walnuts","D","17","Pecans","fallback",0,50,75,0.55,1.15,1.15,0.8,4,1,11,15
4.05,"Evergreen","C","7","Miscellaneous subtropical fruits","fallback",0,33,67,1.15,1.15,1.15,1.15,1,1,12,31
4.05,"Evergreen","C","10","Eucalyptus","fallback",0,33,67,1.15,1.15,1.15,1.15,1,1,12,31
3.03,"Grapes (wine)","V","NA","(no subclass)","fallback",0,25,75,0.45,0.8,0.8,0.35,4,1,10,1
1.13,"Corn (grain)","F","NA","(no subclass)","fallback",20,45,75,0.2,1.05,1.05,0.6,5,1,9,30
1.13,"Corn (grain)","F","16","Corn (grain)","fallback",20,45,75,0.2,1.05,1.05,0.6,5,1,9,30
1.19,"Grains (small)","G","NA","(no subclass)","fallback",20,45,75,0.33,1.1,1.1,0.15,11,1,5,31
1.01,"Alfalfa (cycle)","P","NA","(no subclass)","fallback",7,30,100,0.4,1.15,1.15,0.4,6,20,7,20
2.02,"Improved Pasture","P","4","Native pasture","fallback",25,50,75,0.95,0.95,0.95,0.95,1,1,12,31
2.02,"Improved Pasture","P","5","Induced high water table native pasture","fallback",25,50,75,0.95,0.95,0.95,0.95,1,1,12,31
2.04,"Turfgrass (warm-season)","P","7","Turf farms","fallback",25,50,75,0.6,0.6,0.6,0.6,1,1,12,31
1.33,"Rice","R","NA","(no subclass)","fallback",18,24,78,1.1,1.0,1.0,0.6,5,1,9,27
1.33,"Rice","R","2","Wild rice","fallback",18,24,78,1.1,1.0,1.0,0.6,5,1,9,27
1.44,"Vegetables","T","NA","(no subclass)","fallback",33,67,92,0.8,0.9,0.9,0.9,3,1,8,31
1.44,"Vegetables","T","16","Flowers, nursery, Christmas trees","fallback",33,67,92,0.8,0.9,0.9,0.9,3,1,8,31
1.39,"Strawberries w/mulch","T","19","Bush berries","fallback",15,45,80,0.2,0.7,0.7,0.7,5,1,9,30
1.44,"Vegetables","T","27","Greenhouse","fallback",33,67,92,0.8,0.9,0.9,0.9,3,1,8,31
1.22,"Lettuce","T","30","Lettuce","fallback",25,65,90,0.8,0.8,0.8,0.8,3,15,7,15
