PFT Group	Crop	PlantStage	Season	MINN	MAXN	Unit	Source	Notes
row	Onions	preplant				lbs N/acre	CDFA-FREP & UC Davis	1/3 of total N at preplant
woody	Peach, bell			180	240	lbs N/acre	https://escholarship.org/uc/item/5mk2q1sm	
woody	Peach, chili			150	200	lbs N/acre	https://escholarship.org/uc/item/5mk2q1sm	
woody	Peach, cling			50	100	lbs N/acre	https://escholarship.org/uc/item/5mk2q1sm	
woody	Peach, free			50	100	lbs N/acre	https://escholarship.org/uc/item/5mk2q1sm	
row	Pepper, bell			180	240	lbs N/acre	https://escholarship.org/uc/item/5mk2q1sm	
row	Pepper, chili			150	200	lbs N/acre	https://escholarship.org/uc/item/5mk2q1sm	
woody	Pistachios			100	225	lbs N/acre	https://escholarship.org/uc/item/5mk2q1sm	
woody	Plums, dried				100	lbs N/acre	https://escholarship.org/uc/item/5mk2q1sm	
woody	Plums, fresh			110	150	lbs N/acre	https://escholarship.org/uc/item/5mk2q1sm	
row	Potato	preplant				lbs N/acre	CDFA-FREP & UC Davis	2/3-3/4 should be applied pre-plant
rice	Rice			110	145	lbs N/acre	https://escholarship.org/uc/item/5mk2q1sm	
row	Safflower			100	150	lbs N/acre	https://escholarship.org/uc/item/5mk2q1sm	
row	Strawberry			150	300	lbs N/acre	https://escholarship.org/uc/item/5mk2q1sm	
row	Tomatoes, fresh market			125	350	lbs N/acre	https://escholarship.org/uc/item/5mk2q1sm	
row	Tomatoes, processing			100	150	lbs N/acre	https://escholarship.org/uc/item/5mk2q1sm	
woody	Walnuts			150	200	lbs N/acre	https://escholarship.org/uc/item/5mk2q1sm	
row	Wheat			100	240	lbs N/acre	https://escholarship.org/uc/item/5mk2q1sm	
