%global
    time = "2022-01-01/48"
    
%groundwater
    id = "0"
    
%data
* *	*	watertable
2022	86	47	1.857
2022	86	48	1.861
2022	87	1	1.864
2022	87	2	1.865
2022	87	3	1.867
2022	87	4	1.869
2022	87	5	1.87
2022	87	6	1.873
2022	87	7	1.874
2022	87	8	1.875
2022	87	9	1.875
2022	87	10	1.878
2022	87	11	1.879
2022	87	12	1.877
2022	87	13	1.876
2022	87	14	1.875
2022	87	15	1.874
2022	87	16	1.873
2022	87	17	1.872
2022	87	18	1.869
2022	87	19	1.867
2022	87	20	1.864
2022	87	21	1.863
2022	87	22	1.862
2022	87	23	1.862
2022	87	24	1.862
2022	87	25	1.859
2022	87	26	1.856
2022	87	27	1.854
2022	87	28	1.853
2022	87	29	1.851
2022	87	30	1.851
2022	87	31	1.848
2022	87	32	1.846
2022	87	33	1.845
2022	87	34	1.847
2022	87	35	1.844
2022	87	36	1.842
2022	87	37	1.842
2022	87	38	1.839
2022	87	39	1.837
2022	87	40	1.835
2022	87	41	1.832
2022	87	42	1.829
2022	87	43	1.828
2022	87	44	1.826
2022	87	45	1.825
2022	87	46	1.825
2022	87	47	1.826
2022	87	48	1.825
2022	88	1	1.826
2022	88	2	1.824
2022	88	3	1.824
2022	88	4	1.824
2022	88	5	1.824
2022	88	6	1.825
2022	88	7	1.825
2022	88	8	1.827
2022	88	9	1.828
2022	88	10	1.831
2022	88	11	1.831
2022	88	12	1.816
2022	88	13	1.822
2022	88	14	1.825
2022	88	15	1.825
2022	88	16	1.824
2022	88	17	1.824
2022	88	18	1.824
2022	88	19	1.822
2022	88	20	1.821
2022	88	21	1.82
2022	88	22	1.82
2022	88	23	1.819
2022	88	24	1.82
2022	88	25	1.823
2022	88	26	1.825
2022	88	27	1.827
2022	88	28	1.828
2022	88	29	1.83
2022	88	30	1.832
2022	88	31	1.835
2022	88	32	1.836
2022	88	33	1.837
2022	88	34	1.84
2022	88	35	1.841
2022	88	36	1.843
2022	88	37	1.847
2022	88	38	1.846
2022	88	39	1.849
2022	88	40	1.85
2022	88	41	1.851
2022	88	42	1.837
2022	88	43	1.846
2022	88	44	1.846
2022	88	45	1.847
2022	88	46	1.847
2022	88	47	1.849
2022	88	48	1.848
2022	89	1	1.848
2022	89	2	1.848
2022	89	3	1.848
2022	89	4	1.848
2022	89	5	1.848
2022	89	6	1.849
2022	89	7	1.849
2022	89	8	1.85
2022	89	9	1.85
2022	89	10	1.851
2022	89	11	1.851
2022	89	12	1.852
2022	89	13	1.851
2022	89	14	1.851
2022	89	15	1.85
2022	89	16	1.848
2022	89	17	1.846
2022	89	18	1.844
2022	89	19	1.841
2022	89	20	1.839
2022	89	21	1.836
2022	89	22	1.836
2022	89	23	1.835
2022	89	24	1.835
2022	89	25	1.84
2022	89	26	1.843
2022	89	27	1.845
2022	89	28	1.843
2022	89	29	1.843
2022	89	30	1.842
2022	89	31	1.842
2022	89	32	1.841
2022	89	33	1.841
2022	89	34	1.841
2022	89	35	1.84
2022	89	36	1.84
2022	89	37	1.84
2022	89	38	1.838
2022	89	39	1.837
2022	89	40	1.835
2022	89	41	1.834
2022	89	42	1.832
2022	89	43	1.833
2022	89	44	1.832
2022	89	45	1.83
2022	89	46	1.831
2022	89	47	1.829
2022	89	48	1.828
2022	90	1	1.827
2022	90	2	1.826
2022	90	3	1.825
2022	90	4	1.823
2022	90	5	1.822
2022	90	6	1.821
2022	90	7	1.821
2022	90	8	1.82
2022	90	9	1.819
2022	90	10	1.818
2022	90	11	1.817
2022	90	12	1.817
2022	90	13	1.816
2022	90	14	1.815
2022	90	15	1.813
2022	90	16	1.811
2022	90	17	1.808
2022	90	18	1.806
2022	90	19	1.803
2022	90	20	1.801
2022	90	21	1.799
2022	90	22	1.797
2022	90	23	1.796
2022	90	24	1.796
2022	90	25	1.796
2022	90	26	1.794
2022	90	27	1.799
2022	90	28	1.801
2022	90	29	1.801
2022	90	30	1.801
2022	90	31	1.8
2022	90	32	1.8
2022	90	33	1.8
2022	90	34	1.799
2022	90	35	1.8
2022	90	36	1.799
2022	90	37	1.799
2022	90	38	1.799
2022	90	39	1.798
2022	90	40	1.793
2022	90	41	1.792
2022	90	42	1.793
2022	90	43	1.792
2022	90	44	1.791
2022	90	45	1.792
2022	90	46	1.792
2022	90	47	1.792
2022	90	48	1.789
2022	91	1	1.789
2022	91	2	1.789
2022	91	3	1.79
2022	91	4	1.788
2022	91	5	1.787
2022	91	6	1.787
2022	91	7	1.787
2022	91	8	1.786
2022	91	9	1.786
2022	91	10	1.786
2022	91	11	1.785
2022	91	12	1.785
2022	91	13	1.784
2022	91	14	1.782
2022	91	15	1.78
2022	91	16	1.778
2022	91	17	1.777
2022	91	18	1.775
2022	91	19	1.773
2022	91	20	1.771
2022	91	21	1.77
2022	91	22	1.77
2022	91	23	1.767
2022	91	24	1.767
2022	91	25	1.769
2022	91	26	1.773
2022	91	27	1.775
2022	91	28	1.777
2022	91	29	1.778
2022	91	30	1.779
2022	91	31	1.78
2022	91	32	1.781
2022	91	33	1.782
2022	91	34	1.783
2022	91	35	1.783
2022	91	36	1.784
2022	91	37	1.785
2022	91	38	1.786
2022	91	39	1.787
2022	91	40	1.787
2022	91	41	1.787
2022	91	42	1.787
2022	91	43	1.788
2022	91	44	1.789
2022	91	45	1.788
2022	91	46	1.788
2022	91	47	1.789
2022	91	48	1.789
2022	92	1	1.791
2022	92	2	1.791
2022	92	3	1.792
2022	92	4	1.792
2022	92	5	1.793
2022	92	6	1.794
2022	92	7	1.795
2022	92	8	1.796
2022	92	9	1.795
2022	92	10	1.794
2022	92	11	1.794
2022	92	12	1.795
2022	92	13	1.794
2022	92	14	1.793
2022	92	15	1.793
2022	92	16	1.792
2022	92	17	1.79
2022	92	18	1.788
2022	92	19	1.787
2022	92	20	1.786
2022	92	21	1.785
2022	92	22	1.785
2022	92	23	1.783
2022	92	24	1.784
2022	92	25	1.786
2022	92	26	1.792
2022	92	27	1.796
2022	92	28	1.799
2022	92	29	1.799
2022	92	30	1.801
2022	92	31	1.802
2022	92	32	1.804
2022	92	33	1.805
2022	92	34	1.806
2022	92	35	1.806
2022	92	36	1.808
2022	92	37	1.809
2022	92	38	1.809
