 Wavelength Refl Tran
 627 0.0912 0.0165 
 628 0.0907 0.0164 
 629 0.0906 0.0166 
 630 0.0909 0.0165 
 631 0.0907 0.0166 
 632 0.0903 0.0163 
 633 0.0904 0.0163 
 634 0.0901 0.0163 
 635 0.0898 0.0160 
 636 0.0895 0.0157 
 637 0.0894 0.0155 
 638 0.0889 0.0150 
 639 0.0882 0.0147 
 640 0.0875 0.0145 
 641 0.0870 0.0140 
 642 0.0866 0.0134 
 643 0.0859 0.0131 
 644 0.0853 0.0127 
 645 0.0848 0.0122 
 646 0.0839 0.0117 
 647 0.0829 0.0113 
 648 0.0822 0.0109 
 649 0.0814 0.0106 
 650 0.0812 0.0102 
 651 0.0806 0.0101 
 652 0.0801 0.0099 
 653 0.0793 0.0097 
 654 0.0790 0.0095 
 655 0.0777 0.0091 
 656 0.0778 0.0089 
 657 0.0770 0.0085 
 658 0.0759 0.0082 
 659 0.0749 0.0078 
 660 0.0740 0.0075 
 661 0.0730 0.0072 
 662 0.0718 0.0068 
 663 0.0708 0.0065 
 664 0.0705 0.0064 
 665 0.0695 0.0061 
 666 0.0688 0.0060 
 667 0.0680 0.0058 
 668 0.0673 0.0057 
 669 0.0665 0.0055 
 670 0.0663 0.0055 
 671 0.0660 0.0053 
 672 0.0655 0.0052 
 673 0.0652 0.0052 
 674 0.0651 0.0051 
 675 0.0646 0.0051 
 676 0.0649 0.0051 
 677 0.0649 0.0051 
 678 0.0649 0.0051 
 679 0.0648 0.0051 
 680 0.0649 0.0051 
 681 0.0652 0.0051 
 682 0.0660 0.0053 
 683 0.0664 0.0054 
 684 0.0674 0.0054 
 685 0.0682 0.0057 
 686 0.0698 0.0061 
 687 0.0719 0.0064 
 688 0.0736 0.0070 
 689 0.0767 0.0079 
 690 0.0792 0.0090 
 691 0.0822 0.0105 
 692 0.0858 0.0123 
 693 0.0896 0.0147 
 694 0.0937 0.0177 
 695 0.0978 0.0212 
 696 0.1019 0.0251 
 697 0.1066 0.0300 
 698 0.1110 0.0351 
 699 0.1157 0.0408 
 700 0.1209 0.0470 
 701 0.1258 0.0536 
 702 0.1315 0.0605 
 703 0.1367 0.0672 
 704 0.1414 0.0742 
 705 0.1468 0.0813 
 706 0.1518 0.0884 
 707 0.1574 0.0959 
 708 0.1630 0.1040 
 709 0.1686 0.1121 
 710 0.1743 0.1194 
 711 0.1812 0.1282 
 712 0.1885 0.1364 
 713 0.1958 0.1449 
 714 0.2012 0.1539 
 715 0.2082 0.1632 
 716 0.2149 0.1729 
 717 0.2231 0.1824 
 718 0.2317 0.1928 
 719 0.2403 0.2029 
 720 0.2488 0.2131 
 721 0.2564 0.2222 
 722 0.2657 0.2332 
 723 0.2742 0.2442 
 724 0.2839 0.2553 
 725 0.2929 0.2661 
 726 0.3021 0.2774 
 727 0.3108 0.2876 
 728 0.3185 0.2982 
 729 0.3283 0.3082 
 730 0.3364 0.3180 
 731 0.3453 0.3275 
 732 0.3525 0.3375 
 733 0.3610 0.3463 
 734 0.3695 0.3559 
 735 0.3766 0.3635 
 736 0.3840 0.3716 
 737 0.3890 0.3799 
 738 0.3975 0.3851 
 739 0.4032 0.3926 
 740 0.4080 0.3986 
 741 0.4127 0.4050 
 742 0.4181 0.4092 
 743 0.4232 0.4140 
 744 0.4259 0.4190 
 745 0.4318 0.4258 
 746 0.4346 0.4294 
 747 0.4373 0.4333 
 748 0.4409 0.4377 
 749 0.4451 0.4399 
 750 0.4456 0.4436 
 751 0.4477 0.4466 
 752 0.4499 0.4465 
 753 0.4512 0.4499 
 754 0.4526 0.4522 
 755 0.4560 0.4521 
 756 0.4583 0.4561 
 757 0.4568 0.4578 
 758 0.4617 0.4607 
 759 0.4607 0.4608 
 760 0.4608 0.4616 
 761 0.4611 0.4621 
 762 0.4639 0.4640 
 763 0.4637 0.4642 
 764 0.4622 0.4657 
 765 0.4633 0.4661 
 766 0.4625 0.4653 
 767 0.4674 0.4675 
 768 0.4649 0.4691 
 769 0.4657 0.4695 
 770 0.4660 0.4682 
 771 0.4665 0.4706 
 772 0.4675 0.4684 
 773 0.4681 0.4707 
 774 0.4690 0.4715 
 775 0.4642 0.4722 
 776 0.4667 0.4712 
 777 0.4672 0.4731 
 778 0.4690 0.4731 
 779 0.4685 0.4724 
 780 0.4692 0.4716 
 781 0.4696 0.4742 
 782 0.4660 0.4718 
 783 0.4659 0.4700 
 784 0.4680 0.4728 
 785 0.4682 0.4745 
 786 0.4672 0.4749 
 787 0.4689 0.4741 
 788 0.4686 0.4733 
 789 0.4676 0.4732 
 790 0.4682 0.4749 
 791 0.4681 0.4742 
 792 0.4686 0.4754 
 793 0.4686 0.4748 
 794 0.4667 0.4736 
 795 0.4655 0.4759 
 796 0.4689 0.4739 
 797 0.4675 0.4722 
 798 0.4660 0.4733 
 799 0.4664 0.4733 
 800 0.4706 0.4799 
 801 0.4692 0.4760 
 802 0.4672 0.4740 
 803 0.4684 0.4769 
 804 0.4722 0.4802 
 805 0.4683 0.4762 
 806 0.4681 0.4765 
 807 0.4686 0.4772 
 808 0.4675 0.4752 
 809 0.4686 0.4775 
 810 0.4695 0.4766 
 811 0.4665 0.4760 
 812 0.4693 0.4747 
 813 0.4717 0.4773 
 814 0.4686 0.4791 
 815 0.4690 0.4771 
 816 0.4694 0.4762 
 817 0.4672 0.4757 
 818 0.4674 0.4754 
 819 0.4692 0.4790 
 820 0.4723 0.4804 
 821 0.4712 0.4790 
 822 0.4709 0.4787 
 823 0.4656 0.4788 
 824 0.4667 0.4757 
 825 0.4682 0.4803 
 826 0.4660 0.4762 
 827 0.4669 0.4744 
 828 0.4704 0.4789 
 829 0.4652 0.4767 
 830 0.4660 0.4768 
 831 0.4685 0.4768 
 832 0.4684 0.4744 
 833 0.4704 0.4771 
 834 0.4702 0.4853 
 835 0.4692 0.4817 
 836 0.4735 0.4823 
 837 0.4659 0.4805 
 838 0.4689 0.4804 
 839 0.4702 0.4818 
 840 0.4735 0.4797 
 841 0.4701 0.4820 
 842 0.4649 0.4716 
 843 0.4650 0.4830 
 844 0.4648 0.4825 
 845 0.4684 0.4840 
 846 0.4669 0.4829 
 847 0.4714 0.4829 
 848 0.4730 0.4879 
 849 0.4712 0.4806 
 850 0.4690 0.4792 
 851 0.4690 0.4815 
 852 0.4648 0.4856 
 853 0.4677 0.4792 
 854 0.4665 0.4825 
 855 0.4654 0.4796 
 856 0.4735 0.4787 
 857 0.4680 0.4851 
 858 0.4639 0.4818 
 859 0.4651 0.4804 
 860 0.4622 0.4795 
 861 0.4719 0.4845 
 862 0.4722 0.4859 
 863 0.4717 0.4858 
 864 0.4720 0.4857 
 865 0.4708 0.4852 
 866 0.4711 0.4846 
 867 0.4713 0.4853 
 868 0.4717 0.4854 
 869 0.4706 0.4848 
 870 0.4697 0.4848 
 871 0.4709 0.4855 
 872 0.4709 0.4857 
 873 0.4705 0.4858 
 874 0.4701 0.4853 
 875 0.4703 0.4849 
 876 0.4699 0.4858 
 877 0.4710 0.4861 
 878 0.4708 0.4855 
 879 0.4713 0.4861 
 880 0.4701 0.4856 
 881 0.4707 0.4872 
 882 0.4694 0.4865 
 883 0.4697 0.4854 
 884 0.4691 0.4859 
 885 0.4694 0.4859 
 886 0.4694 0.4866 
 887 0.4697 0.4862 
 888 0.4691 0.4863 
 889 0.4697 0.4872 
 890 0.4695 0.4866 
 891 0.4694 0.4860 
 892 0.4693 0.4863 
 893 0.4696 0.4870 
 894 0.4693 0.4870 
 895 0.4693 0.4868 
 896 0.4693 0.4868 
 897 0.4699 0.4871 
 898 0.4693 0.4878 
 899 0.4676 0.4874 
 900 0.4679 0.4878 
 901 0.4683 0.4877 
 902 0.4684 0.4871 
 903 0.4673 0.4882 
 904 0.4672 0.4882 
 905 0.4677 0.4877 
 906 0.4664 0.4865 
 907 0.4676 0.4868 
 908 0.4683 0.4871 
 909 0.4678 0.4881 
 910 0.4669 0.4879 
 911 0.4672 0.4877 
 912 0.4671 0.4874 
 913 0.4664 0.4878 
 914 0.4665 0.4883 
 915 0.4668 0.4887 
 916 0.4679 0.4885 
 917 0.4659 0.4888 
 918 0.4654 0.4882 
 919 0.4658 0.4878 
 920 0.4659 0.4883 
 921 0.4648 0.4880 
 922 0.4655 0.4889 
 923 0.4658 0.4884 
 924 0.4658 0.4879 
 925 0.4660 0.4883 
 926 0.4666 0.4881 
 927 0.4654 0.4881 
 928 0.4638 0.4885 
 929 0.4648 0.4874 
 930 0.4641 0.4874 
 931 0.4633 0.4878 
 932 0.4642 0.4873 
 933 0.4638 0.4872 
 934 0.4634 0.4872 
 935 0.4633 0.4870 
 936 0.4632 0.4871 
 937 0.4625 0.4867 
 938 0.4626 0.4868 
 939 0.4626 0.4869 
 940 0.4614 0.4863 
 941 0.4622 0.4866 
 942 0.4616 0.4856 
 943 0.4617 0.4860 
 944 0.4620 0.4859 
 945 0.4611 0.4857 
 946 0.4606 0.4851 
 947 0.4605 0.4852 
 948 0.4591 0.4852 
 949 0.4592 0.4847 
 950 0.4581 0.4845 
 951 0.4585 0.4836 
 952 0.4587 0.4835 
 953 0.4580 0.4832 
 954 0.4569 0.4824 
 955 0.4567 0.4821 
 956 0.4561 0.4813 
 957 0.4558 0.4807 
 958 0.4550 0.4804 
 959 0.4558 0.4797 
 960 0.4555 0.4809 
 961 0.4552 0.4814 
 962 0.4547 0.4805 
 963 0.4540 0.4799 
 964 0.4545 0.4790 
 965 0.4540 0.4794 
 966 0.4538 0.4793 
 967 0.4540 0.4800 
 968 0.4540 0.4799 
 969 0.4541 0.4801 
 970 0.4535 0.4791 
 971 0.4527 0.4795 
 972 0.4534 0.4799 
 973 0.4536 0.4802 
 974 0.4527 0.4807 
 975 0.4532 0.4798 
 976 0.4535 0.4807 
 977 0.4535 0.4804 
 978 0.4530 0.4799 
 979 0.4523 0.4808 
 980 0.4539 0.4802 
 981 0.4541 0.4804 
 982 0.4535 0.4816 
 983 0.4539 0.4807 
 984 0.4539 0.4806 
 985 0.4536 0.4802 
 986 0.4529 0.4804 
 987 0.4533 0.4810 
 988 0.4533 0.4804 
 989 0.4532 0.4808 
 990 0.4545 0.4816 
 991 0.4542 0.4814 
 992 0.4539 0.4828 
 993 0.4545 0.4817 
 994 0.4539 0.4821 
 995 0.4542 0.4821 
 996 0.4538 0.4830 
 997 0.4535 0.4829 
 998 0.4541 0.4835 
 999 0.4547 0.4842 
1000 0.4538 0.4840 
1001 0.4550 0.4838 
1002 0.4546 0.4836 
1003 0.4544 0.4832 
1004 0.4552 0.4848 
1005 0.4558 0.4849 
1006 0.4551 0.4848 
1007 0.4547 0.4840 
1008 0.4547 0.4847 
1009 0.4549 0.4849 
1010 0.4548 0.4851 
1011 0.4554 0.4855 
1012 0.4563 0.4864 
1013 0.4549 0.4859 
1014 0.4559 0.4861 
1015 0.4554 0.4861 
1016 0.4553 0.4856 
1017 0.4565 0.4871 
1018 0.4558 0.4871 
1019 0.4562 0.4871 
1020 0.4560 0.4877 
1021 0.4570 0.4875 
1022 0.4565 0.4883 
1023 0.4563 0.4884 
1024 0.4554 0.4890 
1025 0.4560 0.4885 
1026 0.4567 0.4884 
1027 0.4571 0.4887 
1028 0.4570 0.4892 
1029 0.4568 0.4893 
1030 0.4559 0.4896 
1031 0.4580 0.4904 
1032 0.4571 0.4896 
1033 0.4563 0.4895 
1034 0.4562 0.4893 
1035 0.4573 0.4901 
1036 0.4576 0.4897 
1037 0.4566 0.4911 
1038 0.4581 0.4903 
1039 0.4575 0.4910 
1040 0.4572 0.4910 
1041 0.4569 0.4914 
1042 0.4570 0.4919 
1043 0.4569 0.4912 
1044 0.4580 0.4919 
1045 0.4581 0.4922 
1046 0.4581 0.4918 
1047 0.4582 0.4918 
1048 0.4578 0.4923 
1049 0.4576 0.4919 
1050 0.4573 0.4920 
1051 0.4573 0.4922 
1052 0.4581 0.4925 
1053 0.4576 0.4922 
1054 0.4575 0.4935 
1055 0.4577 0.4937 
1056 0.4592 0.4938 
1057 0.4582 0.4932 
1058 0.4586 0.4934 
1059 0.4573 0.4928 
1060 0.4583 0.4935 
1061 0.4576 0.4932 
1062 0.4579 0.4942 
1063 0.4578 0.4940 
1064 0.4581 0.4943 
1065 0.4580 0.4944 
1066 0.4589 0.4940 
1067 0.4589 0.4942 
1068 0.4580 0.4932 
1069 0.4578 0.4950 
1070 0.4581 0.4946 
1071 0.4571 0.4945 
