Species,Family,Authority,Growth Form,Exotic,
Bactris major,Arecaceae,Jacq.,S,,
Bactris maraja,Arecaceae,Mart.,T,,
Bactris militaris,Arecaceae,H. E. Moore,,,
Bactris monticola,Arecaceae,Barb. Rodr.,>10 cm dbh,,
Bactris oligocarpa,Arecaceae,Barb. Rodr.,,,
Bactris oligoclada,Arecaceae,Burret,T,,
Bactris panamensis,Arecaceae,de Nevers & Grayum,S,,
Bactris pectinata,Arecaceae,Mart.,U,,
Bactris piranga,Arecaceae,Trail,T,,
Bactris pliniana,Arecaceae,Granv. & A.J. Hend.,,,
Bactris ptariana,Arecaceae,Steyerm.,T,,
Bactris rhaphidacantha,Arecaceae,Wess. Boer,,,
Bactris riparia,Arecaceae,Mart.,T,,
Bactris schultesii,Arecaceae,L.H.Bailey,,,
Bactris setiflora,Arecaceae,Burret,U,,
Bactris setulosa,Arecaceae,Karsten,U,,
Bactris simplicifrons,Arecaceae,Mart.,S,,
Bactris sphaerocarpa,Arecaceae,Trail,T,,
Bactris syagroides,Arecaceae,Barb.Rodr. & Trial,,,
Bactris tomentosa,Arecaceae,Mart.,woody,,
Bactris trailiana,Arecaceae,Barb. Rodr.,T?,,
Bactris turbinocarpa,Arecaceae,Barb. Rodr.,T?,,
Badiera montana,Polygalaceae,Britton,,,
Badilloa atrescens,Asteraceae,(B. Robinson) B. RobinsonR. King & H. Robinson,"S,V",,
Badilloa drepanoides,Asteraceae,(B.L. Rob.) R.M. King & H. Rob.,S,,
Badilloa helianthifolia,Asteraceae,(Kunth) R.M. King & H. Rob.,S,,
Badilloa herrerae,Asteraceae,(B.L. Rob.) R.M. King & H. Rob.,S,,
Badilloa procera,Asteraceae,(B.L. Rob.) R.M. King & H. Rob.,S,,
Badilloa salicina,Asteraceae,(Lam.) Lam.R. King & H. Robinson,"T,S",,
Badilloa sphagnophila,Asteraceae,(B.L. Rob.) R.M. King & H. Rob.,S,,
Bagassa guianensis,Moraceae,Aubl.,,,
Bakeridesia integerrima,Malvaceae,(Hook. f.) D. Bates,"T,U,S",,
Balizia elegans,Fabaceae-mimosoideae,(Ducke) Barneby & J.W.Grimes,,,
Balizia pedicellaris,Fabaceae-mimosoideae,(DC.) Barneby & J.W. Grimes,>10 cm dbh,,
Bambusa bambos,Poaceae,(L.) Voss,M,,
Bambusa glaucescens,Poaceae,(Willd.) Merr.,S,,
Bambusa vulgaris,Poaceae,Schrad. ex J.C. Wendl.,T,*,
Banara arguta,Salicaceae,Briq.,"T,S",,
Banara axilliflora,Salicaceae,Sleumer,"S,T",,
Banara glauca,Salicaceae,(Kunth) Benth.,"T,U,S",,
Banara guianensis,Salicaceae,Aubl.,U,,
Banara nitida,Salicaceae,Spruce ex Benth.,T,,
Banara portoricensis,Salicaceae,Krug & Urban in Urban,,,
Banara pubescens,Salicaceae,Spruce ex Benth.,T,,
Banara regia,Salicaceae,Sandw.,T,,
Banara riparia,Salicaceae,Sleumer,T,,
Banara vanderbiltii,Salicaceae,Urban,,,
Banisteriopsis caapi,Malpighiaceae,(Spruce ex Griseb.) C.V. Morton,V,,
Banisteriopsis caduciflora,Malpighiaceae,(Nied.) B. Gates,"S,V",,
Banisteriopsis cornifolia,Malpighiaceae,(Kunth) C.B. Rob.,V,,
Banisteriopsis elegans,Malpighiaceae,(Triana & Planch.) Sandwith,V,,
Banisteriopsis erianthera,Malpighiaceae,(A. Juss.) B. Gates,V,,
Banisteriopsis leiocarpa,Malpighiaceae,(A. Juss.) B. Gates,"S,V",,
Banisteriopsis longialata,Malpighiaceae,(Nied.) B. Gates,V,,
Banisteriopsis lucida,Malpighiaceae,(Rich.) Small,"S,V",,
Banisteriopsis lutea,Malpighiaceae,(Griseb.) Cuatrec.,"S,V",,
Banisteriopsis martiniana,Malpighiaceae,,V,,
Banisteriopsis muricata,Malpighiaceae,(Cav.) Cuatrec.,"U,V",,
Banisteriopsis nummifera,Malpighiaceae,(A. Juss.) B. Gates,V,,
Banisteriopsis nutans,Malpighiaceae,(Nied.) B. Gates,V,,
Banisteriopsis padifolia,Malpighiaceae,(Nied.) B. Gates,V,,
Banisteriopsis parvifolia,Malpighiaceae,(Nied.) B. Gates,"S,V",,
Banisteriopsis peruviana,Malpighiaceae,(Nied.) B. Gates,V,,
Banisteriopsis polygama,Malpighiaceae,(Nied.) B. Gates,V,,
Banisteriopsis populifolia,Malpighiaceae,(Nied.) B. Gates,"S,V",,
Banisteriopsis pubipetala,Malpighiaceae,(A. Juss.) Cuatrec.,"U,V",,
Banisteriopsis schunkei,Malpighiaceae,B. Gates,V,,
Banisteriopsis velutinissima,Malpighiaceae,B. Gates,V,,
Banisteriopsis woytkowskii,Malpighiaceae,B. Gates,V,,
Banisteriopsis wurdackii,Malpighiaceae,B. Gates,V,,
Barbaceniopsis vargasiana,Velloziaceae,(L.B. Sm.) L.B. Sm.,S,,
Barbieria pinnata,Fabaceae,(Pers.) Baill.,"S,V",,
Barleria cristata,Acanthaceae,L.,T,*,
Barnadesia aculeata,Asteraceae,(Benth.) Chung,S,,
Barnadesia arborea,Asteraceae,Kunth,S,,
Barnadesia berberoides,Asteraceae,Sch. Bip.,S,,
Barnadesia blakeana,Asteraceae,Ferreyra,S,,
Barnadesia caryophylla,Asteraceae,(Vell.) S.F. Blake,S,,
Barnadesia ciliata,Asteraceae,(Chung) Harling,S,,
Barnadesia corymbosa,Asteraceae,(Ruiz & Pav.) D. Don,T,,
Barnadesia dombeyana,Asteraceae,Less.,S,,
Barnadesia horrida,Asteraceae,Muschl.,S,,
Barnadesia hutchisoniana,Asteraceae,Ferreyra,S,,
Barnadesia jelskii,Asteraceae,Hieron.,S,,
Barnadesia kingii,Asteraceae,H. Robinson,S,,
Barnadesia lehmannii,Asteraceae,Hieron.,S,,
Barnadesia macbridei,Asteraceae,Ferreyra,S,,
Barnadesia parviflora,Asteraceae,Spruce ex Benth. & Hook. f.,T,,
Barnadesia polyacantha,Asteraceae,Wedd.,S,,
Barnadesia reticulata,Asteraceae,D. Don,S,,
Barnadesia spinosa,Asteraceae,Less.,S,,
Barnadesia wurdackii,Asteraceae,Ferreyra,S,,
Barnebydendron riedelii,Fabaceae,(Tul.) J.H. Kirkbr.,T,,
Barnhartia floribunda,Polygalaceae,Gleason,T,,
Barringtonia asiatica,Lecythidaceae,(L.) Kurz,,,
Bartlettina macromeris,Asteraceae,(B.L. Rob.) R.M. King & H. Rob.,S,,
Bartlettina platyphylla,Asteraceae,(B.L. Rob.) R.M. King & H. Rob.,"S,T",,
Bartlettina prionophylla,Asteraceae,(B.L. Rob.) R.M. King & H. Rob.,"S,T",,
Bartsia strigosa,Orobanchaceae,Molau,S,,
Basistemon intermedius,Plantaginaceae,Edwin,S,,
Basistemon klugii,Plantaginaceae,Barringer,S,,
Basistemon peruvianus,Plantaginaceae,Benth. ex B.D. Jacks.,S,,
Bastardia bivalvis,Malvaceae,(Cav.) Cav.Kunth ex Griseb.,S,,
Bastardia viscosa,Malvaceae,(L.) Kunth,S,,
Bastardiopsis myrianthus,Malvaceae,(Planchon & L. Linden) Planchon & L. LindenFuertes,T,,
Batesia floribunda,Fabaceae,Spruce ex Benth.,>10 cm dbh,,
Bathysa obovata,Rubiaceae,Schum. ex Standl.,"S,T",,
Bathysa peruviana,Rubiaceae,K. Krause,"S,T",,
Bathysa pittieri,Rubiaceae,(Standl.) Steyerm.,T,,
Bathysa veraguensis,Rubiaceae,Dwyer,T,,
Batis maritima,Bataceae,L.,S,,
Batocarpus amazonicus,Moraceae,(Ducke) Fosberg,T,,
Batocarpus costaricensis,Moraceae,Standl. & L.O. Williams,T,,
Batocarpus orinocensis,Moraceae,H. Karst.,T,,
Bauhinia accrescens,Fabaceae-caesalpinioideae,Killip & J.F. Macbr.,V,,
Bauhinia acreana,Fabaceae-caesalpinioideae,Harms,"T,S",,
Bauhinia aculeata,Fabaceae-caesalpinioideae,L.,S,,
Bauhinia arborea,Fabaceae-caesalpinioideae,Wunderlin,>10 cm dbh,,
Bauhinia augusti,Fabaceae-caesalpinioideae,Harms,"T,S",,
Bauhinia beguinotii,Fabaceae-caesalpinioideae,Cufod.,"S,T",,
Bauhinia brachycalyx,Fabaceae-caesalpinioideae,Ducke,T,,
Bauhinia coclensis,Fabaceae-caesalpinioideae,R. Torres,T,,
Bauhinia confertiflora,Fabaceae-caesalpinioideae,Benth. in Mart.,V,,
Bauhinia corniculata,Fabaceae-caesalpinioideae,Benth. in Mart.,"S,T",,
Bauhinia emarginata,Fabaceae-caesalpinioideae,Mill.,"S,T",,
Bauhinia flagelliflora,Fabaceae-caesalpinioideae,Wunderlin,T,,
Bauhinia glabra,Fabaceae-caesalpinioideae,Jacq.,T,,
Bauhinia guentheri,Fabaceae-caesalpinioideae,Harms,V,,
Bauhinia guianensis,Fabaceae-caesalpinioideae,Aubl.,T,,
Bauhinia haughtii,Fabaceae-caesalpinioideae,Wunderlin,T,,
Bauhinia herrerae,Fabaceae-caesalpinioideae,(Britton & Rose) Standl. & Steyerm.,V,,
Bauhinia hirsutissima,Fabaceae-caesalpinioideae,Wunderlin,V,,
Bauhinia longicuspis,Fabaceae-caesalpinioideae,Spruce ex Benth.,,,
Bauhinia longifolia,Fabaceae-caesalpinioideae,(Bong.) Steud.,T,,
Bauhinia microstachya,Fabaceae-caesalpinioideae,(Raddi) J. F. Macbr.,,,
Bauhinia monandra,Fabaceae-caesalpinioideae,Kurz,T,*,
Bauhinia pauletia,Fabaceae-caesalpinioideae,Pers.,"S,T",,
Bauhinia petiolata,Fabaceae-caesalpinioideae,(Mutis ex DC.) Triana,T,,
Bauhinia pichinchensis,Fabaceae-caesalpinioideae,Wunderlin,T,,
Bauhinia picta,Fabaceae-caesalpinioideae,(Kunth) DC.,T,,
Bauhinia porphyrotricha,Fabaceae-caesalpinioideae,Harms,V,,
Bauhinia pterocalyx,Fabaceae-caesalpinioideae,Ducke,"S,V",,
Bauhinia purpurea,Fabaceae-caesalpinioideae,L.,,,
Bauhinia reflexa,Fabaceae-caesalpinioideae,Schery,V,,
Bauhinia rufa,Fabaceae-caesalpinioideae,(Bong.) Steud.,,,
Bauhinia rutilans,Fabaceae-caesalpinioideae,Spruce ex Benth. in Mart.,T,,
Bauhinia seminarioi,Fabaceae-caesalpinioideae,Harms ex Eggers,S,,
Bauhinia stenantha,Fabaceae-caesalpinioideae,Diels,"T,S",,
Bauhinia tarapotensis,Fabaceae-caesalpinioideae,Benth. ex J.F. Macbr.,>10 cm dbh,,
Bauhinia uleana,Fabaceae-caesalpinioideae,Harms,V,,
Bauhinia ungulata,Fabaceae-caesalpinioideae,L.,"S,T",,
Bauhinia variegata,Fabaceae-caesalpinioideae,L.,,,
Bauhinia weberbaueri,Fabaceae-caesalpinioideae,Harms,T,,
Begonia foliosa,Begoniaceae,Kunth,S,,
Begonia glabra,Begoniaceae,,S,,
Begonia glauca,Begoniaceae,(Klotzsch) Ruiz & Pav. ex A. DC.,S,,
Begonia monadelpha,Begoniaceae,,S,,
Begonia parviflora,Begoniaceae,Buch.-Ham. ex Wallich,"U,S",,
Begonia raimondii,Begoniaceae,Irmsch.,S,,
Begonia rossmanniae,Begoniaceae,A. DC.,"U,E",,
Begonia soror,Begoniaceae,Irmsch.,S,,
Begonia subspinulosa,Begoniaceae,Irmsch.,S,,
Begonia suprafastigiata,Begoniaceae,Irmsch.,S,,
Begonia viridiflora,Begoniaceae,,S,,
Beilschmiedia alloiophylla,Lauraceae,(Rusby) Kosterm.,T,,
Beilschmiedia brasiliensis,Lauraceae,(Kosterm.) Kosterm.,>10 cm dbh,,
Beilschmiedia brenesii,Lauraceae,C.K. Allen,T,,
Beilschmiedia costaricensis,Lauraceae,(Mez & Pittier) C.K. Allen,T,,
Beilschmiedia curviramea,Lauraceae,(Meisn.) Kosterm.,T,,
Beilschmiedia hexanthera,Lauraceae,van der Werff,,,
Beilschmiedia ovalis,Lauraceae,(S.F. Blake) C.K. Allen,T,,
Beilschmiedia pendula,Lauraceae,(Sw.) Hemsl.,T,,
Beilschmiedia sulcata,Lauraceae,(Ruiz & Pav.) Kosterm.,T,,
Beilschmiedia tilaranensis,Lauraceae,Sa. Nishida,T,,
Beilschmiedia tovarensis,Lauraceae,(Meisn.) Sa. Nishida,T,,
Bejaria aestuans,Ericaceae,L.,T,,
Bejaria infundibula,Ericaceae,Clemants,"T,S",,
Bejaria mathewsii,Ericaceae,Fielding & Gardner,"T,S",,
Bejaria resinosa,Ericaceae,Mutis ex L. f.,"T,S",,
Bejaria sprucei,Ericaceae,Meisn. in Mart.,T,,
Bejaria subsessilis,Ericaceae,Benth.,S,,
Bejaria zamorae,Ericaceae,Clemants,S,,
Belairia spinosa,Fabaceae,A. Rich.,,,
Belairia ternata,Fabaceae,C. Wright ex Griseb.,,,
Bellucia aequiloba,Melastomataceae,Pilg.,T,,
Bellucia dichotoma,Melastomataceae,Cogn.,>10 cm dbh,,
Bellucia grossularioides,Melastomataceae,(L.) Triana,"T,S",,
Bellucia pentamera,Melastomataceae,Naudin,U,,
Bentinckia nicobarica,Arecaceae,(Kurz) Becc.,T,,
Berberis agapatensis,Berberidaceae,Lechler,S,,
Berberis armata,Berberidaceae,Citerne,S,,
Berberis barbeyana,Berberidaceae,C.K. Schneid.,S,,
Berberis beauverdiana,Berberidaceae,C.K. Schneid.,"T,S",,
Berberis benoistiana,Berberidaceae,J.F. Macbr.,S,,
Berberis boliviana,Berberidaceae,Lechler,S,,
Berberis brumalis,Berberidaceae,J.F. Macbr.,S,,
Berberis buceronis,Berberidaceae,J.F. Macbr.,S,,
Berberis carinata,Berberidaceae,,S,,
Berberis chillacochensis,Berberidaceae,L.A. Camargo,S,,
Berberis chimboensis,Berberidaceae,C. Schneider,S,,
Berberis cliffortioides,Berberidaceae,Diels,S,,
Berberis commutata,Berberidaceae,Eichler in Mart.,S,,
Berberis dryandriphylla,Berberidaceae,Diels,"T,S",,
Berberis engleriana,Berberidaceae,C. Schneider,S,,
Berberis farinosa,Berberidaceae,Benoist,S,,
Berberis flexuosa,Berberidaceae,Ruiz & Pav.,S,,
Berberis glauca,Berberidaceae,DC.,S,,
Berberis grandiflora,Berberidaceae,Turcz.,S,,
Berberis hallii,Berberidaceae,Hieron.,S,,
Berberis heterophylla,Berberidaceae,Juss. ex Poir.,S,,
Berberis hirtellipes,Berberidaceae,Ahrendt,S,,
Berberis hochreutineriana,Berberidaceae,J.F. Macbr.,S,,
Berberis humbertiana,Berberidaceae,J.F. Macbr.,S,,
Berberis hyperythra,Berberidaceae,Diels,S,,
Berberis jamesonii,Berberidaceae,Lindley,S,,
Berberis jelskiana,Berberidaceae,C. Schneider,S,,
Berberis laidivo,Berberidaceae,L.A. Camargo,S,,
Berberis latifolia,Berberidaceae,Ruiz Lopez & Pavon,U,,
Berberis lechleriana,Berberidaceae,C. Schneider,S,,
Berberis lehmannii,Berberidaceae,Hieron.,U,,
Berberis lobbiana,Berberidaceae,(C.K. Schneid.) C.K. Schneid.,"T,S",,
Berberis loxensis,Berberidaceae,Benth.,S,,
Berberis lutea,Berberidaceae,Ruiz Lopez & Pavon,S,,
Berberis minzaensis,Berberidaceae,L.A. Camargo,S,,
Berberis monosperma,Berberidaceae,Ruiz & Pav.,S,,
Berberis multiflora,Berberidaceae,Benth.,S,,
Berberis paniculata,Berberidaceae,Philippi,S,,
Berberis papillosa,Berberidaceae,Benoist,S,,
Berberis pavoniana,Berberidaceae,Ahrendt,S,,
Berberis pectinata,Berberidaceae,Hieron.,S,,
Berberis pichinchensis,Berberidaceae,Turcz.,S,,
Berberis pindilicensis,Berberidaceae,Hieron.,S,,
Berberis podophylla,Berberidaceae,C.K. Schneid.,S,,
Berberis reicheana,Berberidaceae,C. Schneider,S,,
Berberis rigida,Berberidaceae,Hieron.,S,,
Berberis saxicola,Berberidaceae,Lechler,S,,
Berberis saxorum,Berberidaceae,Ahrendt,S,,
Berberis schwerinii,Berberidaceae,C. Schneider,S,,
Berberis simonsii,Berberidaceae,Ahrendt,S,,
Berberis spruceana,Berberidaceae,(C.K. Schneid.) Ahrendt,S,,
Berberis tomentosa,Berberidaceae,Ruiz & Pav.,S,,
Berberis weberbaueri,Berberidaceae,C.K. Schneid.,S,,
Bernardia dichotoma,Euphorbiaceae,(Willd.) Mnll. Arg.,,,
Bernoullia flammea,Malvaceae,Oliv.,T,,
Bertholletia excelsa,Lecythidaceae,Bonpl.,T,,
Bertiera angustifolia,Rubiaceae,Benth.,"S,T",,
Bertiera guianensis,Rubiaceae,Aubl.,S,,
Bertiera parviflora,Rubiaceae,Spruce ex Schumann,S,,
Bertiera procumbens,Rubiaceae,Schumann & K. Krause,S,,
Besleria aggregata,Gesneriaceae,(Mart.) Hanst.,U,,
Besleria angusta,Gesneriaceae,C.V. Morton,S,,
Besleria angustiflora,Gesneriaceae,Fritsch,S,,
Besleria arborescens,Gesneriaceae,C.V. Morton,T,,
Besleria arbusta,Gesneriaceae,L.E. Skog,S,,
Besleria aureonitens,Gesneriaceae,(Hook.) Wiehler,U,,
Besleria barbata,Gesneriaceae,(Poepp.) Hanst.,U,,
Besleria barclayi,Gesneriaceae,L. E. Skog,"U,S",,
Besleria comosa,Gesneriaceae,C.V. Morton,U,,
Besleria divaricata,Gesneriaceae,Poepp.,S,,
Besleria emendata,Gesneriaceae,C.V. Morton,S,,
Besleria flavovirens,Gesneriaceae,Nees & Mart.,S,,
Besleria formicaria,Gesneriaceae,Nowicke,S,,
Besleria immitis,Gesneriaceae,C.V. Morton,U,,
Besleria insolita,Gesneriaceae,C.V. Morton,S,,
Besleria laxiflora,Gesneriaceae,Benth.,S,,
Besleria microphylla,Gesneriaceae,Fritsch,S,,
Besleria miniata,Gesneriaceae,C.V. Morton,U,,
Besleria modica,Gesneriaceae,C.V. Morton,U,,
Besleria parviflora,Gesneriaceae,L.E. Skog & Steyerm.,S,,
Besleria patrisii,Gesneriaceae,DC.,S,,
Besleria pauciflora,Gesneriaceae,Rusby,U,,
Besleria penduliflora,Gesneriaceae,Fritsch,S,,
Besleria quadrangulata,Gesneriaceae,L.E. Skog,U,,
Besleria solanoides,Gesneriaceae,Kunth,S,,
Besleria stricta,Gesneriaceae,L.E. Skog,U,,
Besleria variabilis,Gesneriaceae,C.V. Morton,U,,
Bidens monticola,Asteraceae,Poepp.,S,,
Bidens riparia,Asteraceae,,S,,
Bidens rubifolia,Asteraceae,Kunth,"S,V",,
Bidens segetum,Asteraceae,,S,,
Bidens squarrosa,Asteraceae,Kunth,"S,V",,
Bidens triplinervia,Asteraceae,,S,,
Billia hippocastanum,Sapindaceae,Peyr.,T,,
Billia rosea,Sapindaceae,(Planch. & Linden) C. Ulloa & P. Jorg.,T,,
Bishopanthus soliceps,Asteraceae,H. Rob.,S,,
Bixa arborea,Bixaceae,Huber,,,
Bixa excelsa,Bixaceae,Gleason & Krukoff,T,,
Bixa orellana,Bixaceae,L.,"S,T",,
Bixa platycarpa,Bixaceae,Ruiz & Pav. ex G. Don,>10 cm dbh,,
Bixa urucurana,Bixaceae,Willd.,T,,
Blakea acostae,Melastomataceae,Wurd.,"U,S",,
Blakea bracteata,Melastomataceae,Gleason,"U,V",,
Blakea brunnea,Melastomataceae,Gleason,T,,
Blakea ciliata,Melastomataceae,Markgr.,T,,
Blakea cuatrecasii,Melastomataceae,Gleason,"S,E,T,V",,
Blakea eriocalyx,Melastomataceae,Wurdack,H,,
Blakea formicaria,Melastomataceae,Wurd.,"S,V",,
Blakea glabrescens,Melastomataceae,Benth.,"T,U,S",,
Blakea glandulosa,Melastomataceae,Gleason,"U,T",,
Blakea gracilis,Melastomataceae,Hemsl.,S,,
Blakea harlingii,Melastomataceae,Wurd.,"T,U,S",,
Blakea hirsuta,Melastomataceae,Berg ex Triana,T,,
Blakea hirsutissima,Melastomataceae,(J.F. Macbr.) Wurdack,T,,
Blakea hispida,Melastomataceae,Markgr.,"U,E",,
Blakea incompta,Melastomataceae,Markgraf,"S,V",,
Blakea involvens,Melastomataceae,Markgraf,"U,S,V",,
Blakea jativae,Melastomataceae,Wurd.,S,,
Blakea lanuginosa,Melastomataceae,Wurd.,S,,
Blakea latifolia,Melastomataceae,(Ruiz & Pav.) D. Don,,,
Blakea madisonii,Melastomataceae,Wurd.,"S,E",,
Blakea mexiae,Melastomataceae,Gleason,"T,V",,
Blakea oldemanii,Melastomataceae,Wurd.,"T,U,S",,
Blakea ovalis,Melastomataceae,(Ruiz & Pav.) D. Don,V,,
Blakea paludosa,Melastomataceae,Gleason,"T,S",,
Blakea pauciflora,Melastomataceae,Gleason,"T,S",,
Blakea pichinchensis,Melastomataceae,Wurd.,S,,
Blakea podagrica,Melastomataceae,Triana,"S,V",,
Blakea polyantha,Melastomataceae,Wurd.,"T,S",,
Blakea portentosa,Melastomataceae,Wurd.,"T,S",,
Blakea punctulata,Melastomataceae,(Triana) Wurdack,U,,
Blakea quadriflora,Melastomataceae,H. A. Gleason,"T,S",,
Blakea repens,Melastomataceae,(Ruiz Lopez & Pavon) D. Don,"T,U,S",,
Blakea rosea,Melastomataceae,(Ruiz & Pav.) D. Don,"U,V",,
Blakea rostrata,Melastomataceae,Berg ex Triana,S,,
Blakea rotundifolia,Melastomataceae,D. Don,T,,
Blakea sawadae,Melastomataceae,J.F. Macbr.,U,,
Blakea spruceana,Melastomataceae,Cogn. in C. Martius,"S,V",,
Blakea standleyana,Melastomataceae,J.F. Macbr.,S,,
Blakea storkii,Melastomataceae,(Standl.) Almeda,"S,T",,
Blakea subconnata,Melastomataceae,O. Berg ex Triana,T,,
Blakea subvaginata,Melastomataceae,Wurdack,T,,
Blakea villosa,Melastomataceae,Cogn.,S,,
Blakea wilsoniorum,Melastomataceae,Almeda,T,,
Blastemanthus sprucei,Ochnaceae,Tieghem,>10 cm dbh,,
Blechnum acutum,Blechnaceae,(Desv.) Mett.,H,,
Blechnum auratum,Blechnaceae,(Fee) FeeR. Tryon & Stolze,U,,
Blechnum brasiliense,Blechnaceae,Desv.,U,,
Blechnum chilense,Blechnaceae,(Kaulf.) Mett.,U,,
Blechnum cordatum,Blechnaceae,(Desv.) Hieron.,U,,
Blechnum ensiforme,Blechnaceae,(Liebm.) C. Chr.,H,,
Blechnum fragile,Blechnaceae,(Liebm.) Liebm.C. Morton & Lellinger,H,,
Blechnum schomburgkii,Blechnaceae,(Klotzsch) C. Chr.,U,,
Blepharandra hypoleuca,Malpighiaceae,(Benth.) Griseb.,T,,
Blepharidium mexicanum,Rubiaceae,Standl.,T,,
Blepharocalyx eggersii,Myrtaceae,(Kiaersk.) Landrum,>10 cm dbh,,
Blepharocalyx salicifolius,Myrtaceae,(Kunth) O. Berg,"T,S",,
Blepharodon mucronatum,Apocynaceae,(Schldl.) Schldl.Decne. in A. DC.,V,,
Blighia sapida,Sapindaceae,K.D. Koenig,T,*,
Blomia prisca,Sapindaceae,(Standl.) Lundell,T,,
Blutaparon rigidum,Amaranthaceae,(B. Robinson & Greenman) Mears,S,,
Bocageopsis canescens,Annonaceae,(Spruce ex Benth.) R.E. Fr.,T,,
Bocageopsis mattogrossensis,Annonaceae,(R.E. Fr.) R.E. Fr.,>10 cm dbh,,
Bocageopsis multiflora,Annonaceae,(Mart.) R.E. Fr.,>10 cm dbh,,
Bocageopsis pleiosperma,Annonaceae,Maas,,,
Bocconia frutescens,Papaveraceae,L.,S,,
Bocconia integrifolia,Papaveraceae,Humb. & Bonpl.,"T,U,S",,
Bocoa alterna,Fabaceae,(Benth.) R.S. Cowan,,,
Bocoa prouacensis,Fabaceae,Aubl.,,,
Bocoa viridiflora,Fabaceae,(Ducke) R.S. Cowan,>10 cm dbh,,
Boehmeria anomala,Urticaceae,(Wedd.) Killip,"T,S",,
Boehmeria aspera,Urticaceae,Blume,S,,
Boehmeria balslevii,Urticaceae,I. Friis & Wilmot-Dear,S,,
Boehmeria brevirostris,Urticaceae,Wedd.,S,,
Boehmeria bullata,Urticaceae,Kunth,S,,
Boehmeria caudata,Urticaceae,Sw.,S,,
Boehmeria celtidifolia,Urticaceae,Kunth,"U,S",,
Boehmeria fallax,Urticaceae,Wedd.,S,,
Boehmeria mathewsii,Urticaceae,Killip,S,,
Boehmeria pavonii,Urticaceae,Wedd.,"S,T",,
Boehmeria radiata,Urticaceae,W. Burger,"U,S",,
Boehmeria ramiflora,Urticaceae,Jacq.,S,,
Boehmeria ulmifolia,Urticaceae,Wedd.,"S,T",,
Bolbitis serratifolia,Lomariopsidaceae,(Mert. ex Kaulf.) Schott,H,,
Bomarea involucrosa,Alstroemeriaceae,(Herb.) Baker,S,,
Bomarea klugii,Alstroemeriaceae,Killip,V,,
Bomarea rosea,Alstroemeriaceae,(Ruiz & Pav.) Herb.,V,,
Bombacopsis squamigera,Malvaceae,(Cuatrec.) A. Robyns,T,,
Bonamia cubana,Convolvulaceae,,,,
Bonamia peruviana,Convolvulaceae,Ooststr.,V,,
Bonamia trichantha,Convolvulaceae,H. Hallier or Hallier f.,V,,
Bonellia macrocarpa,Theophrastaceae,(Cav.) B. St?hl & K?llersj?,"S,T",,
Bonnetia paniculata,Bonnetiaceae,Spruce ex Benth.,T,,
Bonnetia roraimae,Bonnetiaceae,Oliv.,T,,
Bonnetia rubicunda,Bonnetiaceae,(Sastre) A.L. Weitzman & P.F. Stevens,T,,
Bonnetia sessilis,Bonnetiaceae,Benth.,T,,
Bonnetia tepuiensis,Bonnetiaceae,Kobuski & Steyerm.,T,,
Bontia daphnoides,Scrophulariaceae,L.,,,
Bonyunia aquatica,Loganiaceae,Ducke,>10 cm dbh,,
Bonyunia minor,Loganiaceae,N.E. Br.,T?,,
Bonyunia superba,Loganiaceae,M.R. Schomb. ex Progel,T,,
Borismene japurensis,Menispermaceae,(Mart.) Barneby,V,,
Borojoa atlantica,Rubiaceae,Dwyer,T,,
Borojoa claviflora,Rubiaceae,(K.Schum.) Cuatr.,M,,
Borojoa panamensis,Rubiaceae,Dwyer,M,,
Borojoa patinoi,Rubiaceae,Cuatrec.,T,,
Borojoa stipularis,Rubiaceae,(Ducke) Cuatrec.,T,,
Borreria assurgens,Rubiaceae,(Ruiz & Pav.) Griseb.,U,,
Borreria capitata,Rubiaceae,(Ruiz & Pav.) DC.,S,,
Borreria densiflora,Rubiaceae,DC.,S,,
Borreria dispersa,Rubiaceae,Hook. f.,S,,
Borreria latifolia,Rubiaceae,(Aubl.) K. Schum.,S,,
Borreria linearifolia,Rubiaceae,Hook. f.,S,,
Borreria verticillata,Rubiaceae,(L.) G. Mey.,S,,
Bothriospora corymbosa,Rubiaceae,(Benth.) Hook. f.,>10 cm dbh,,
Botryarrhena pendula,Rubiaceae,Ducke,>10 cm dbh,,
Bouchea fluminensis,Verbenaceae,(Vell.) Moldenke,S,,
Bougainvillea buttiana,Nyctaginaceae,Holttum & Standl.,S,,
Bougainvillea glabra,Nyctaginaceae,Choisy in A. DC.,,,
Bougainvillea lehmannii,Nyctaginaceae,Heimerl,S,,
Bougainvillea pachyphylla,Nyctaginaceae,Heimerl ex Standl.,,,
Bougainvillea peruviana,Nyctaginaceae,Bonpl.,"T,S",,
Bougainvillea spectabilis,Nyctaginaceae,Willd.,,,
Bougainvillea spinosa,Nyctaginaceae,(Cav.) Heimerl,"T,S",,
Bourreria costaricensis,Boraginaceae,(Standl.) A.H. Gentry,T,,
Bourreria oxyphylla,Boraginaceae,Standl.,T,,
Bourreria revoluta,Boraginaceae,Kunth,,,
Bourreria succulenta,Boraginaceae,Jacq.,,,
Bourreria virgata,Boraginaceae,(Swartz) G. Don,,,
Bowdichia nitida,Fabaceae,(Spr.) Benth.,>10 cm dbh,,
Bowdichia virgilioides,Fabaceae,Kunth,,,
Bowlesia flabilis,Apiaceae,J.F. Macbr.,"S,V",,
Boyania ayangannae,Melastomataceae,Wurdack,S,,
