"","DayofYear","Hour","ThermalT","Stem","Leaf","Root"
"1",89,23,0.145598317616552,0.00699933274178943,0.000699773414684035,0.00710033299230431
"2",90,0,0.145598317616552,0.00699881400335956,0.000699587193542417,0.00720105571356405
"3",90,1,0.145598317616552,0.00699830023654944,0.000699402401335154,0.00730175822080181
"4",90,2,0.145598317616552,0.00699779026069982,0.000699218709162089,0.00740243744665703
"5",90,3,0.145598317616552,0.00699728266718166,0.000699035722823303,0.00750308950759655
"6",90,4,0.145598317616552,0.00699677590784882,0.00069885300806612,0.00760370993420446
"7",90,5,0.145598317616552,0.00699626838790802,0.000698670117431731,0.00770429393143131
"8",90,6,0.145598317616552,0.00699575856012203,0.00069848661758689,0.00780483665883395
"9",90,7,0.145598317616552,0.00699524501760496,0.000698302116090866,0.00790533351119017
"10",90,8,0.145598317616552,0.00699472658212678,0.000698116286485849,0.00800578047231029
"11",90,9,0.145598317616552,0.00699420238392694,0.00069792889043622,0.00810617436202678
"12",90,10,0.145598317616552,0.00699367192785632,0.000697739795450599,0.00820651310562763
"13",90,11,0.145598317616552,0.00699313513969185,0.00069754898660476,0.00830679594511024
"14",90,12,0.145598317616552,0.00699259238623806,0.000697356570756741,0.00840702356965951
"15",90,13,0.152268268584527,0.00699204446380943,0.000697162772097603,0.00850719814203596
"16",90,14,0.164136182833309,0.00699149255211086,0.000696967918545127,0.00860732320445572
"17",90,15,0.179271673401514,0.00699093813425192,0.000696772419413272,0.008707403459983
"18",90,16,0.195521673401513,0.00699038288807164,0.000696576735840444,0.00880744444161484
"19",90,17,0.210657163969717,0.00698982855820787,0.00069638134643513,0.00890745209833788
"20",90,18,0.222525078218499,0.00698927682142012,0.000696186711287268,0.00900743234339002
"21",90,19,0.229195029186475,0.00698872915879103,0.000695993237737559,0.00910739054834887
"22",90,20,0.229195029186475,0.00698818674729564,0.000695801251036085,0.00920733119194471
"23",90,21,0.229195029186475,0.00698765038013749,0.000695610972318275,0.009307257519943
"24",90,22,0.229195029186475,0.0069871204209856,0.000695422505343185,0.0094071713275741
"25",90,23,0.229195029186475,0.00698659679280604,0.00069523583238791,0.00950707286027884
"26",91,0,0.229195029186475,0.00698611955108489,0.000695062196288027,0.0096071076712326
"27",91,1,0.229195029186475,0.00698564598781525,0.000694889636531341,0.00970712413340776
"28",91,2,0.229195029186475,0.00698517523512106,0.000694717907881055,0.00980711935557182
"29",91,3,0.229195029186475,0.00698470625230357,0.000694546715228041,0.00990708969471624
"30",91,4,0.229195029186475,0.00698423789231641,0.000694375732737655,0.0100070309797592
"31",91,5,0.229195029186475,0.00698376897243187,0.000694204624403571,0.0101069387634158
"32",91,6,0.229195029186475,0.00698329834622706,0.000694033065040898,0.0102068085906694
"33",91,7,0.229195029186475,0.00698282497419649,0.000693860760781689,0.0103066362688088
"34",91,8,0.229195029186475,0.00698234799012141,0.00069368746810782,0.0104064181753255
"35",91,9,0.229195029186475,0.00698186675986456,0.000693513010385178,0.0105061514894106
"36",91,10,0.229195029186475,0.00698138092870713,0.000693337290793256,0.0106058344216537
"37",91,11,0.229195029186475,0.00698089045298685,0.000693160300538153,0.0107054663861557
"38",91,12,0.229195029186475,0.00698039561194355,0.000692982121359476,0.0108050480976351
"39",91,13,0.229195029186475,0.00697989699658258,0.0006928029216402,0.0109045815762139
"40",91,14,0.229195029186475,0.00697939547412309,0.000692622945913881,0.0110040700490706
"41",91,15,0.229195029186475,0.00697889212908035,0.000692442498196379,0.0111035177481343
"42",91,16,0.229195029186475,0.00697838818486958,0.000692261920260623,0.0112029296154389
"43",91,17,0.229195029186475,0.00697788491247125,0.000692081566600436,0.0113023109405834
"44",91,18,0.229195029186475,0.00697738353458487,0.000691901778267087,0.0114016669666201
"45",91,19,0.229195029186475,0.00697688513437904,0.000691722857916027,0.0115010024638177
"46",91,20,0.229195029186475,0.00697639057725311,0.000691545048236794,0.0116003214073124
"47",91,21,0.229195029186475,0.00697590045212911,0.000691368515492735,0.0116996266821882
"48",91,22,0.229195029186475,0.00697541503613546,0.000691193339264472,0.0117989198877263
"49",91,23,0.229195029186475,0.00697493428370458,0.000691019508798423,0.0118982012438827
"50",92,0,0.242215862519807,0.00697438282641884,0.000690826127650559,0.0119971397852969
"51",92,1,0.249325523140107,0.00697383599175415,0.000690634051135002,0.0120960623099981
"52",92,2,0.251899381407091,0.00697329268749811,0.000690442981825201,0.0121949643123475
"53",92,3,0.251899381407091,0.00697275160635829,0.00069025256236871,0.0122938401946783
"54",92,4,0.251899381407091,0.00697221130896797,0.000690062398568566,0.0123926836102313
"55",92,5,0.251899381407091,0.00697167031173594,0.000689872084074337,0.0124914878434672
"56",92,6,0.254473239674076,0.00697112717619955,0.00068968122556868,0.0125902462081148
"57",92,7,0.261582900294375,0.00697058059679793,0.000689489467380403,0.0126889524379044
"58",92,8,0.274603733627707,0.00697002948372652,0.000689296514413165,0.0127876011852253
"59",92,9,0.294508273382072,0.00696947303685593,0.000689102152170927,0.0128861883227217
"60",92,10,0.321799940048737,0.00696891080586048,0.000688906262545058,0.0129847112877203
"61",92,11,0.356478733627704,0.00696834273109078,0.000688708833986136,0.0130831693337993
"62",92,12,0.398041233627703,0.00696776915976966,0.000688509964803216,0.0131815636671814
"63",92,13,0.445514906340735,0.00696719083314943,0.000688309858680479,0.0132798974430465
"64",92,14,0.497524381407081,0.00696660884249251,0.000688108812094218,0.0133781756057559
"65",92,15,0.552385181032414,0.00696602455497452,0.000687907194105143,0.0134764045727899
