plot	subplot	census_date	easting	northing	adult_density	sapling_density	ABG_biomass
P85	3	8/16/2004	708268	5093320	716.7795096631	4973.5929843603	148.9828180223
P85	4	8/16/2004	708185	5083325	358.3897548315	1657.8643281201	137.2456295259
P9	1	7/12/2004	710982.716	5090731.469	1433.5590193262	3315.7286562402	176.9490872505
P9	2	7/12/2004	710991	5090763	597.3162580526	2210.4857708268	168.2756245066
P9	3	7/12/2004	711009	5090705	537.5846322473	0	75.2513683194
P9	4	7/12/2004	710963	5090697	537.5846322473	1105.2428854134	124.8201486058
P91	1	8/19/2004	707407	5091762	0	23210.1005936812	8.3175249592
P91	2	8/19/2004	707411	5091798	59.7316258053	7184.0787551871	5.1855327458
P91	3	8/19/2004	707439	5091746	0	5526.214427067	2.7291953605
P91	4	8/19/2004	707379	5091743	0	8841.9430833071	3.1156782329
W1	1	6/12/2006	708047.894	5091991.675	657.0478838578	0	84.202788216
W1	2	6/12/2006	708042.119	5092027.628	59.7316258053	3868.3500989469	83.0255973139
