      9     0    0.77   0.36        1    0.77   0.36        1  -99.00 -99.00        0
     17     0    0.71   0.39        1    0.71   0.39        1  -99.00 -99.00        0
     25     0    0.48   0.27        1    0.48   0.27        1  -99.00 -99.00        0
     33     0    0.37   0.33        1    0.37   0.33        1  -99.00 -99.00        0
     41     0    0.32   0.29        1    0.32   0.29        1  -99.00 -99.00        0
     49     0    0.38   0.30        1    0.38   0.30        1  -99.00 -99.00        0
     57     0    0.36   0.32        1    0.36   0.32        1  -99.00 -99.00        0
     65     0    0.33   0.33        1    0.33   0.33        1  -99.00 -99.00        0
     73     0    1.70   0.31        1    1.70   0.31        1  -99.00 -99.00        0
     81     0    0.10   0.31        1    0.10   0.31        1  -99.00 -99.00        0
     89     0    0.34   0.29        1    0.34   0.29        1  -99.00 -99.00        0
     97     0    0.59   0.22        1    0.59   0.22        1  -99.00 -99.00        0
    105     0    0.45   0.34        1    0.45   0.34        1  -99.00 -99.00        0
    113     0    0.80   0.46        1    0.80   0.46        1  -99.00 -99.00        0
    121     0    0.68   0.52        1    0.68   0.52        1  -99.00 -99.00        0
    129     0    1.17   0.55        1    1.17   0.55        1  -99.00 -99.00        0
    137     0    0.98   0.73        1    0.98   0.73        1  -99.00 -99.00        0
    145     0    1.02   0.75        1    1.02   0.75        1  -99.00 -99.00        0
    153     0    0.60   0.74        1    0.60   0.74        1  -99.00 -99.00        0
    161     0    0.29   0.87        1    0.29   0.87        1  -99.00 -99.00        0
    169     0    0.10   0.87        1    0.10   0.87        1  -99.00 -99.00        0
    177     0    0.54   0.84        1    0.54   0.84        1  -99.00 -99.00        0
    185     0    0.07   0.91        1    0.07   0.91        1  -99.00 -99.00        0
    193     0    0.00   0.88        1    0.00   0.88        1  -99.00 -99.00        0
    201     0    0.24   0.90        1    0.24   0.90        1  -99.00 -99.00        0
    209     0    0.20   0.85        1    0.20   0.85        1  -99.00 -99.00        0
    217     0    0.39   0.84        1    0.39   0.84        1  -99.00 -99.00        0
    225     0    0.09   0.91        1    0.09   0.91        1  -99.00 -99.00        0
    233     0    0.12   0.90        1    0.12   0.90        1  -99.00 -99.00        0
    241     0    0.30   0.91        1    0.30   0.91        1  -99.00 -99.00        0
    249     0    0.09   0.87        1    0.09   0.87        1  -99.00 -99.00        0
    257     0    0.48   0.82        1    0.48   0.82        1  -99.00 -99.00        0
    265     0    0.16   0.81        1    0.16   0.81        1  -99.00 -99.00        0
    273     0    0.66   0.80        1    0.66   0.80        1  -99.00 -99.00        0
    281     0    0.76   0.66        1    0.76   0.66        1  -99.00 -99.00        0
    289     0    0.03   0.66        1    0.03   0.66        1  -99.00 -99.00        0
    297     0    0.25   0.74        1    0.25   0.74        1  -99.00 -99.00        0
    305     0    0.03   0.70        1    0.03   0.70        1  -99.00 -99.00        0
    313     0    0.47   0.63        1    0.47   0.63        1  -99.00 -99.00        0
    321     0    0.02   0.66        1    0.02   0.66        1  -99.00 -99.00        0
    329     0    0.90   0.57        1    0.90   0.57        1  -99.00 -99.00        0
    345     0    1.45   0.80        1    1.45   0.80        1  -99.00 -99.00        0
    353     0    0.71   0.72        1    0.71   0.72        1  -99.00 -99.00        0
    361     0    0.44   0.65        1    0.44   0.65        1  -99.00 -99.00        0
