"year","years_per_iteration","surface_elevation","aboveground_biomass","belowground_biomass","totalRootVolume","sediment_delivered","rootToShoot","rootTurnover","abovegroundTurnover","rootDepthMax","rootPackingDensity","lambda","rootShape","cumulativeTotalOm","cumulativeSequesteredOm","omFlux","omSequestration","cFlux","cSequestration"
1928,1,-11,0.0601930618803538,0.102328205196601,1.46183150280859,0.0115438072833821,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,67.5464598860791,67.37269042057,NA,NA,NA,NA
1929,1,-10.3619941089896,0.0597983538197759,0.101657201493619,1.45224573562313,0.0137134382863921,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,67.6097784610434,67.4366799992373,0.0633185749643417,0.0639895786673179,0.030392915982884,0.0307149977603126
1930,1,-9.7174240394063,0.0597551596532265,0.101583771410485,1.4511967344355,0.0139511180168428,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,67.6727606467275,67.5001993969756,0.0629821856840209,0.0635193977383324,0.03023144912833,0.0304893109143995
1931,1,-9.07418760519306,0.0597229909265978,0.101529084575216,1.45041549393166,0.0141281581999049,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,67.7361128615797,67.5636616896285,0.0633522148521877,0.0634622926528721,0.0304090631290501,0.0304619004733786
1932,1,-8.43110354116948,0.0596976592000833,0.101486020640142,1.44980029485917,0.0142675880575216,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,67.7994495936509,67.6270798377983,0.0633367320712637,0.0634181481697738,0.0304016313942066,0.0304407111214914
1933,1,-7.78811883674973,0.0596801209220176,0.10145620556743,1.449374365249,0.014364130186679,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,67.8627716718542,67.6904618793746,0.0633220782032993,0.063382041576304,0.0303945975375837,0.0304233799566259
1934,1,-7.14516775255402,0.0596706525522247,0.101440109338782,1.44914441912546,0.0144162531860736,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,67.9260897625613,67.75381697527,0.063318090707071,0.0633550958954459,0.0303926835393941,0.030410446029814
1935,1,-6.50217985433335,0.0596695008852195,0.101438151504873,1.44911645006962,0.014422593205688,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,67.9894141053546,67.8171546103213,0.0633243427933081,0.063337635051326,0.0303956845407879,0.0304020648246365
1936,1,-5.8590836120228,0.0596768751755098,0.101450687798367,1.44929553997667,0.0143819976631218,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,68.0527551231742,67.8804845584004,0.0633410178196243,0.063329948079101,0.0304036885534197,0.0303983750779685
1937,1,-5.21580674192649,0.0596929416578277,0.101478000818307,1.44968572597581,0.0142935557971787,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,68.1161233661951,67.9438168382759,0.0633682430209035,0.0633322798754108,0.0304167566500337,0.0303994943401972
