"year","cohort_index","mineral","fast","slow","root","vol","nonRootVol","cumVol","inputYrs","omPackingDensity","mineralPackingDensity"
1928,53,0.0115438072833821,0.0451447964102653,0.0451447964102653,0,0.910591799727561,0,0,1,0.1,1.5
1928,52,0.230876145667642,0.000456008044548135,0.901948487636384,0.0440251968676074,9.80689377107737,9.17796238725441,9.80689377107737,20,0.1,1.5
1928,51,0.230876145667642,0.0109841342069853,0.911130437542438,0.0317812301219988,9.82908072111074,18.5530255351937,19.6359744921881,20,0.1,1.5
1928,50,0.230876145667642,0.0093883100383671,1.12707724251344,0.0218649670680044,11.8309296283633,30.071598491157,31.4669041205514,20,0.1,1.5
1928,49,0.230876145667642,0.00506108139234845,1.30588625934477,0.00465681113899087,13.3299167112304,43.3349893289732,44.7968208317818,20,0.1,1.5
1928,48,0.230876145667642,0.00040336267244206,1.39791587346973,0,14.1371097918668,57.47209912084,58.9339306236486,20,0.1,1.5
1928,47,0.230876145667642,3.56754758476503e-06,1.40182654664456,0,14.1722185723666,71.6443176932066,73.1061491960152,20,0.1,1.5
1928,46,0.230876145667642,3.56754758476507e-46,1.39902555542431,0,14.1441729846882,85.7884906778949,87.2503221807034,20,0.1,1.5
1928,45,0.230876145667642,3.56754758476512e-86,1.39623016086781,0,14.1162190391232,99.904709717018,101.366541219827,20,0.1,1.5
1928,44,0.230876145667642,3.56754758476516e-126,1.39344035179235,0,14.0883209483686,113.993030665387,115.454862168195,20,0.1,1.5
1928,43,0.230876145667642,3.56754758476521e-166,1.39065611703759,0,14.060478600821,128.053509266208,129.515340769016,20,0.1,1.5
1928,42,0.230876145667642,3.56754758476525e-206,1.38787744546546,0,14.0326918850997,142.086201151307,143.548032654116,20,0.1,1.5
1928,41,0.230876145667642,3.5675475847653e-246,1.38510432596017,0,14.0049606900468,156.091161841354,157.552993344163,20,0.1,1.5
1928,40,0.230876145667642,3.56754758476534e-286,1.38233674742812,0,13.9772849047263,170.06844674608,171.530278248889,20,0.1,1.5
1928,39,0.230876145667642,0,1.37957469879789,0,13.949664418424,184.018111164504,185.479942667313,20,0.1,1.5
1928,38,0.230876145667642,0,1.37681816902017,0,13.9220991206468,197.940210285151,199.40204178796,20,0.1,1.5
1928,37,0.230876145667642,0,1.37406714706775,0,13.8945889011226,211.834799186274,213.296630689082,20,0.1,1.5
1928,36,0.230876145667642,0,1.37132162193542,0,13.8671336497993,225.701932836073,227.163764338882,20,0.1,1.5
1928,35,0.230876145667642,0,1.36858158263999,0,13.839733256845,239.541666092918,241.003497595727,20,0.1,1.5
1928,34,0.230876145667642,0,1.3658470182202,0,13.8123876126471,253.354053705565,254.815885208374,20,0.1,1.5
1928,33,0.230876145667642,0,1.36311791773669,0,13.785096607812,267.139150313377,268.600981816186,20,0.1,1.5
1928,32,0.230876145667642,0,1.36039427027197,0,13.7578601331647,280.897010446542,282.358841949351,20,0.1,1.5
1928,31,0.230876145667642,0,1.35767606493034,0,13.7306780797485,294.62768852629,296.089520029099,20,0.1,1.5
1928,30,0.230876145667642,0,1.35496329083791,0,13.7035503388242,308.331238865115,309.793070367923,20,0.1,1.5
1928,29,0.230876145667642,0,1.35225593714249,0,13.67647680187,322.007715666985,323.469547169793,20,0.1,1.5
1928,28,0.230876145667642,0,1.34955399301357,0,13.6494573605808,335.657173027566,337.119004530374,20,0.1,1.5
1928,27,0.230876145667642,0,1.34685744764229,0,13.622491906868,349.279664934434,350.741496437242,20,0.1,1.5
1928,26,0.230876145667642,0,1.34416629024139,0,13.595580332859,362.875245267293,364.337076770101,20,0.1,1.5
1928,25,0.230876145667642,0,1.34148051004516,0,13.5687225308967,376.443967798189,377.905799300998,20,0.1,1.5
