X20070515_HH	X20070515_HV	X20070527_HH	X20070527_HV	X20070630_HH	X20070630_HV	X20070815_HH	X20070815_HV	X20070827_HH	X20070827_HV	X20080517_HH	X20080517_HV	X20080817_HH	X20080817_HV	X20081002_HH	X20081002_HV	X20090717_HH	X20090717_HV	X20090820_HH	X20090820_HV	X20090901_HH	X20090901_HV	X20100523_HH	X20100523_HV	X20100604_HH	X20100604_HV	X20100708_HH	X20100708_HV	X20100823_HH	X20100823_HV	X20100904_HH	X20100904_HV	X20100921_HH	X20100921_HV	X20101008_HH	X20101008_HV	X20101106_HH	X20101106_HV	X20101123_HH	X20101123_HV	X20101205_HH	X20101205_HV
0	0	NA	NA	0	0	NA	NA	NA	NA	0	0	NA	NA	0	0	NA	NA	0	0	NA	NA	0	0	NA	NA	0	0	0	0	NA	NA	NA	NA	0	0	NA	NA	0	0	NA	NA
0	0	NA	NA	0	0	0	0	NA	NA	0	0	0	0	0	0	NA	NA	0	0	NA	NA	0	0	NA	NA	0	0	0	0	NA	NA	NA	NA	0	0	NA	NA	0	0	NA	NA
0.309702349826694	0.0803296673111618	NA	NA	0.203157668933272	0.0671827243641019	0.187809890136123	0.0505870506167412	NA	NA	0.325933479600483	0.0806098476880127	0	0	0	0	NA	NA	0.225221762433648	0.059825305826962	NA	NA	0.261922516756588	0.0684481271439129	NA	NA	0.272259188549859	0.0569157153367996	0.427020467817783	0.0898199831135571	NA	NA	0.307851752266288	0.0629006330855191	0.432340193539858	0.100710259284824	0.429922539740801	0.0494894655421376	0.249395370483398	0.0325982598587871	NA	NA
NA	NA	0.226955037564039	0.0536897894926369	NA	NA	NA	NA	0.226085267133183	0.0513707695321904	NA	NA	NA	NA	NA	NA	0.230659401842526	0.0516631816114698	NA	NA	0.200460039079189	0.0536295450292528	NA	NA	0.199606190435588	0.0646670991554856	NA	NA	NA	NA	0.272919779643416	0.0646556587889791	0.298128180205822	0.0901631331071258	NA	NA	0.160642419010401	0.0310374656692147	NA	NA	0.142939964309335	0.0174835339421406
0.219060461968184	0.0581637821160257	NA	NA	0.201293902737754	0.0873630488557475	0.220538275316358	0.0561656425707042	NA	NA	0.272882834076881	0.0824458156194952	0.197768694588116	0.0601571894117764	0.187654616577285	0.0634070576301643	NA	NA	0.222749241524273	0.0775288724237018	NA	NA	0.220641436055303	0.0925787496380508	NA	NA	0.168345994182995	0.06436637789011	0.260217946022749	0.0720837246626616	NA	NA	0.266394626349211	0.0762882805429399	0.39853395308767	0.0721718285764967	0.268359841778874	0.0319863467011601	0.138688310980797	0.045512182371957	NA	NA
NA	NA	0.147482440806925	0.0681973299942911	NA	NA	NA	NA	0.151878064232213	0.0515551859779017	NA	NA	NA	NA	NA	NA	0.128146064467728	0.0568086602725089	NA	NA	0.163170125335455	0.0595215377397835	NA	NA	0.171282256022096	0.0580120133236051	NA	NA	NA	NA	0.177938709035516	0.0573538634926081	0.189900276916368	0.0664199564073767	NA	NA	0.149626167491078	0.0217666402459145	NA	NA	0.100115214474499	0.0160917541943491
NA	NA	0.343180441430637	0.108335468385901	NA	NA	NA	NA	0.277980584651232	0.117063145153224	NA	NA	NA	NA	NA	NA	0.243459273129702	0.100684427656233	NA	NA	0.30949548445642	0.07784971781075	NA	NA	0.291439053085115	0.105317713485824	NA	NA	NA	NA	0.307271899448501	0.0859017272790273	0.291781586077478	0.108443099591467	NA	NA	0.229390328750014	0.0582058685831726	NA	NA	0.168013989925385	0.0268642303999513
0.173539452254772	0.0356069052858012	NA	NA	0.158720724284649	0.0410739649087191	0.141971869394183	0.0236387387849391	NA	NA	0.127209729515016	0.0382749387063086	0.157102361321449	0.0359841636382043	0.194715727120638	0.0352286216802895	NA	NA	0.16236058374246	0.0503046462933222	NA	NA	0.211714830249548	0.0423072017729282	NA	NA	0.243394326832559	0.046565314133962	0.257725488394499	0.049415634945035	NA	NA	NA	NA	0.344807617366314	0.043008895823732	NA	NA	0.101735842015062	0.0325508383767945	NA	NA
0.250147459762437	0.0941017653260912	NA	NA	0.244536057114601	0.10218784319503	0.257260289043188	0.0774521338753402	NA	NA	0.268028861710003	0.107485894645963	0.262235404923558	0.0784399965777993	0.361637870470683	0.0548421140346262	NA	NA	0.225746853277087	0.100125024095178	NA	NA	0.383142004410426	0.0826652323206266	NA	NA	0.27753534168005	0.0998855130746961	0.375726707279682	0.0911644408479333	NA	NA	NA	NA	0.394545923918486	0.0917652016505599	NA	NA	0.166276499629021	0.0335026262328029	NA	NA
0.11873900358166	0.0373029421482767	NA	NA	0.123579472303391	0.0507043641991913	0.175414369441569	0.0400961921550333	NA	NA	0.148629029281437	0.0551187763921916	0.19143326766789	0.0335563698317856	0.180427014827728	0.0309796950314194	NA	NA	0.173410442657769	0.0484909689985216	NA	NA	0.213670533150434	0.0568187390454113	NA	NA	0.230317927069134	0.0576223155690564	0.232046544551849	0.0652897856198251	NA	NA	0.229715451598167	0.0550772761926055	0.266492502556907	0.061565399583843	0.203591289264815	0.0357334568564381	0.187569489702582	0.0267093267757446	NA	NA
