Name,Description,Units,Yearly,Monthly,Daily,PFT,Compartments,Layers,Placeholder
TCSHLW,Thermal conductivity in fibrous layer,W/m/K,y,,,invalid,invalid,invalid,
TDEEP,Temperature in amorphous layer,oC,y,,,invalid,invalid,invalid,
TLAYER,Temperature by layer,oC,y,,invalid,invalid,invalid,l,
TMINEA,Temperature top mineral,oC,y,,,invalid,invalid,invalid,
TMINEB,Temperature middle mineral,oC,y,,,invalid,invalid,invalid,
TMINEC,Temperature bottom mineral,oC,y,,,invalid,invalid,invalid,
TSHLW,Temperature in fibrous layer,oC,y,,,invalid,invalid,invalid,
VEGC,Total veg. biomass C,gC/m2,y,,invalid,,,invalid,
VEGN,Total veg. biomass N,gN/m2,y,,invalid,,,invalid,
VWCDEEP,VWC in amorphous layer,m3/m3,y,,,invalid,invalid,invalid,
VWCLAYER,VWC by layer,m3/m3,y,,invalid,invalid,invalid,l,
VWCMINEA,VWC top mineral,m3/m3,y,,,invalid,invalid,invalid,
VWCMINEB,VWC middle mineral,m3/m3,y,,,invalid,invalid,invalid,
VWCMINEC,VWC bottom mineral,m3/m3,y,,,invalid,invalid,invalid,
VWCSHLW,Volume water content (vwc) in fibrous layer,m3/m3,y,,,invalid,invalid,invalid,
WATERTAB,Water table,m,y,,,invalid,invalid,invalid,
WDRH,Dead woody debris HR,gC/m2/time,y,,invalid,invalid,invalid,invalid,
YSD,Years since last disturbance,Years,y,invalid,invalid,invalid,invalid,invalid,
