Name,Description,Units,Yearly,Monthly,Daily,PFT,Compartments,Layers,Placeholder
TLAYER,Temperature by layer,degree_C,,,invalid,invalid,invalid,,
TMINEA,Temperature top mineral,degree_C,,,,invalid,invalid,invalid,
TMINEB,Temperature middle mineral,degree_C,,,,invalid,invalid,invalid,
TMINEC,Temperature bottom mineral,degree_C,,,,invalid,invalid,invalid,
TSHLW,Temperature in fibrous layer,degree_C,,,,invalid,invalid,invalid,
VEGC,Total veg. biomass C,g C/m2,y,,invalid,,,invalid,
VEGN,Total veg. biomass N,g N/m2,y,,invalid,,,invalid,
VWCDEEP,VWC in amorphous layer,m3/m3,,,,invalid,invalid,invalid,
VWCLAYER,VWC by layer,m3/m3,,,invalid,invalid,invalid,,
VWCMINEA,VWC top mineral,m3/m3,,,,invalid,invalid,invalid,
VWCMINEB,VWC middle mineral,m3/m3,,,,invalid,invalid,invalid,
VWCMINEC,VWC bottom mineral,m3/m3,,,,invalid,invalid,invalid,
VWCSHLW,Volume water content (vwc) in fibrous layer,m3/m3,,,,invalid,invalid,invalid,
WATERTAB,Water table,m,,,,invalid,invalid,invalid,
WDRH,Dead woody debris HR,g C/m2/time,y,,invalid,invalid,invalid,invalid,
YSD,Years since last disturbance,Years,,invalid,invalid,invalid,invalid,invalid,
