ABIES BALSAMEA 
ABIES FRASERI 
ACER RUBRUM 
ACER SACCHARINUM
ACER SACCHARUM
BETULA LENTA 
CARYA CORDIFORMIS
CARYA GLABRA 
CARYA LACINIOSA 
CARYA OVATA
CARYA TEXANA 
CARYA TOMENTOSA
CASTANEA DENTATA 
CELTIS LAEVIGATA
CORNUS FLORIDA 
FAGUS GRANDIFOLIA
FRAXINUS AMERICANA 
FRAXINUS NIGRA
FRAXINUS PENNSYLVANICA
PRUNUS PENSYLVANICA 
JUGLANS CINEREA 
JUGLANS NIGRA
JUNIPERUS VIRGINIANA
LIQUIDAMBAR STYRACIFLUA
LIRIODENDRON TULIPIFERA
CARPINUS CAROLINIANA
PICEA GLAUCA
PICEA MARIANA
PICEA RUBENS
PINUS BANKSIANA
PINUS ECHINATA
PINUS RESINOSA
PINUS STROBUS
PINUS TAEDA
PINUS VIRGINIANA
PLATANUS OCCIDENTALIS
QUERCUS ALBA
QUERCUS COCCINEA
QUERCUS FALCATA 
QUERCUS LYRATA
QUERCUS MARILANDICA
QUERCUS NUTTALLII 
QUERCUS PRINUS 
QUERCUS RUBRA
QUERCUS SHUMARDII
QUERCUS STELLATA
QUERCUS VELUTINA
TILIA AMERICANA
TILIA HETEROPHYLLA
TSUGA CANADENSIS
ULMUS ALATA
ULMUS AMERICANA
AESCULUS OCTANDRA
BETULA POPULIFOLIA
BETULA PAPYRIFERA
FRAXINUS QUADRANGULATA
LARIX LARICINA 
POPULUS BALSAMIFERA
POPULUS GRANDIDENTATA
POPULUS TREMULOIDES 
QUERCUS MACROCARPA
QUERCUS MUEHLENBERGII
QUERCUS PALUSTRIS
QUERCUS VIRGINIANA
THUJA OCCIDENTALIS
NYSSA SYLVATICA
OSTRYA VIRGINIANA
PRUNUS SEROTINA 
BETULA ALLEGENESIS
PINUS RIGIDA
BETULA ALLEGENESIS
PINUS RIGIDA
