0,0.0068,0.0251,0.0183,1,1,0.039,0.5217,0.336,0.9
0,0.0076,0.0315,0.0239,2,1,0.121,0.5219,0.4,0.9
0,0.0109,0.0574,0.0465,3,1,0.193,0.7787,0.508,0.92
0,0.0106,0.0377,0.0271,4,1,0.158,0.6693,0.435,0.92
0,0.0079,0.0256,0.0177,5,1,0.187,0.5194,0.315,0.93
0,0.0081,0.0286,0.0205,6,1,0.206,0.6839,0.475,0.96
0,0.0085,0.0336,0.0251,7,1,0.214,0.7059,0.46,0.94
0,0.0057,0.0477,0.042,8,1,0.241,1.1967,0.79,0.91
0,0.009,0.0341,0.0251,9,1,0.248,0.6105,0.359,0.95
0,0.0056,0.0326,0.027,10,1,0.28,0.5926,0.383,0.97
0,0.0063,0.022,0.0157,11,1,0.216,0.9052,0.594,0.97
0,0.0046,0.0163,0.0117,12,1,0.283,0.5646,0.327,0.96
0,0.0096,0.0284,0.0188,13,1,0.253,0.7,0.456,0.98
0,0.0038,0.0195,0.0157,14,2,0.173,0.4831,0.299,0.99
0,0.0038,0.0195,0.0157,15,2,0.173,0.4831,0.299,0.99
0,0.0038,0.0195,0.0157,16,1,0.173,0.4831,0.299,0.96
0,0.005,0.0364,0.0314,17,1,0.423,0.7222,0.299,0.99
