"","DayofYear","Hour","ThermalT","Stem","Leaf","Root","Rhizome","Grain","LAI","SoilEvaporation","CanopyTrans"
"1",89,23,0.44869631759453,0.00699897673497035,0.000699683960097296,0.00709994881693478,6.99764661693478,0,0.000913536369477251,3.66401034635673e-06,0.000196994356634235
"2",90,0,0.887758817594529,0.0069979674299229,0.000699371386266951,0.00719986195238483,6.99532440217842,0,0.00091312826013296,1.84425786581171e-06,0.000144048594810855
"3",90,1,1.31892537156179,0.00699696944879424,0.00069906164865121,0.00729973478731925,6.99302754118873,0,0.000912723853867972,1.82821117848804e-06,0.000133781252711499
"4",90,2,1.74403315304251,0.00699598010221026,0.000698754100667169,0.00739956224506434,6.99075010671962,0,0.000912322306476858,1.81560906053752e-06,0.000121335679704317
"5",90,3,2.16533223091524,0.00699499619616488,0.000698447970678805,0.00749933773286994,6.98848506665655,0,0.000911922610479655,1.80730844975774e-06,0.000107520179907356
"6",90,4,2.58533223091524,0.00699401422969021,0.000698142410894488,0.00759905352836292,6.98622471941973,0,0.000911523658964483,1.80386982815033e-06,9.31764272549127e-05
"7",90,5,3.00663130878797,0.00699303060012273,0.000697836548892506,0.00769870122185422,6.98396114560612,0,0.000911124312861403,1.80552042713138e-06,7.91481019638889e-05
"8",90,6,3.43173909026869,0.00699204181047793,0.000697529539883764,0.00779928691261287,6.98168666380975,0,0.000910723469178773,0.0328678130264139,8.78160830287943e-05
"9",90,7,3.86290564423595,0.0069910446744027,0.000697220617984991,0.0079120683899435,6.97939428066661,0,0.000910320127947658,0.398353528381422,0.000139971777410158
"10",90,8,4.30196814423595,0.006990036513218,0.000696909144617604,0.0080280928248151,6.97707812306731,0,0.0009099134554134,0.806275448303387,0.000123279668358884
"11",90,9,4.75022566814142,0.00698901533696281,0.000696594651724376,0.00814539088661527,6.97473383477338,0,0.000909502840461093,1.16485819403908,0.000110736040780404
"12",90,10,5.20835066814142,0.00698797999788611,0.000696276876968222,0.00826330171168611,6.9723589120851,0,0.000909087940572567,1.44197114828282,0.000106944079714669
"13",90,11,5.67634314423595,0.00698693030171185,0.000695955787680434,0.00838145946725931,6.96995294639276,0,0.000908668713094201,1.61666504862641,0.000113052935725224
"14",90,12,6.15353064423595,0.00698586706065022,0.000695631590322676,0.00849959106190163,6.96751773853446,0,0.000908245427590902,1.6763135596969,0.000128978852620976
"15",90,13,6.63861409026869,0.00698479207385555,0.000695304722837426,0.00861745021204784,6.96505725374241,0,0.000907818655858513,1.61666381429856,0.000153667769785533
"16",90,14,7.12975630878797,0.00698370802657044,0.000694975828581704,0.00873477695827822,6.9625773981832,0,0.000907389237890618,1.44196862718323,0.00018515882966096
"17",90,15,7.62470723091524,0.00698261830829236,0.000694645712477383,0.0088512359732888,6.96008561810262,0,0.000906958224626563,1.16485429561154,0.000220570489772456
"18",90,16,8.12095723091524,0.0069815267615211,0.000694315282271218,0.00896622611560233,6.95759034720762,0,0.000906526801258129,0.806270072851445,0.000255626072889279
"19",90,17,8.61590815304251,0.00698043738360152,0.000693985479928852,0.00907789111489149,6.95510035190208,0,0.000906096197654684,0.398346619911519,0.000280016429864135
"20",90,18,9.10705037156179,0.00697935401216905,0.000693657209703717,0.00917734551164692,6.95262404142189,0,0.000905667594446979,0.0328596031320682,0.000163960319437964
"21",90,19,9.59213381759453,0.00697828002760375,0.000693331269952108,0.00927574695627006,6.95016881613783,0,0.000905242034002072,1.9339753867265e-06,0.00014096313723614
"22",90,20,10.0693213175945,0.00697721810290369,0.000693008295174474,0.00937411402560403,6.94774052058867,0,0.00090482034475004,1.91907104831569e-06,0.000148791578897727
"23",90,21,10.5373137936891,0.0069761700233225,0.000692688713198841,0.0094724531551855,6.94534305001342,0,0.00090440308528088,1.90139335270848e-06,0.000152828915867737
"24",90,22,10.9954387936891,0.00697513658712547,0.000692372720266104,0.00957076805616936,6.94297813499614,0,0.000903990511814835,1.88215227020787e-06,0.000152899304761258
"25",90,23,11.4436963175945,0.00697411758760436,0.000692060274516655,0.00966905950574335,6.94064530424955,0,0.000903582569698267,1.86266622831695e-06,0.000149130375918175
"26",91,0,11.8570296509279,0.00697314771635901,0.000691759717035633,0.00976743469858285,6.93842049486367,0,0.000903190149397546,3.16830153872595e-06,0.00022891921149305
"27",91,1,12.2575913994214,0.00697219529501264,0.000691463472947799,0.00986580066925331,6.93623430197492,0,0.000902803360841693,3.12262752557923e-06,0.000208950063066607
"28",91,2,12.648353166188,0.00697125607832432,0.000691170524459878,0.0099641458657388,6.93407741362381,0,0.00090242087515764,3.08686767466714e-06,0.000185754228518268
"29",91,3,13.0329544069001,0.00697032511403478,0.000690879673816113,0.0100624559779458,6.93193897756908,0,0.000902041128505839,3.06345097771992e-06,0.000160762960586152
"30",91,4,13.4154544069001,0.00696939702917511,0.000690589615439012,0.0101607147360273,6.92980722885093,0,0.000901662416270223,3.05395131744384e-06,0.000135338104048292
"31",91,5,13.8000556476123,0.00696846631314906,0.000690299009246878,0.0102589047525499,6.9276701097006,0,0.000901282988784602,3.05898610311556e-06,0.000110767734942586
"32",91,6,14.1908174143789,0.00696752759878776,0.000690006554100825,0.010358679734071,6.92551588446694,0,0.000900901147228131,0.0505966454277291,0.000152223449807096
"33",91,7,14.5913791628724,0.00696657594506028,0.00068971106079992,0.010473017564018,6.9233337576286,0,0.000900515338930803,0.55507360674811,0.000343046781355048
"34",91,8,15.0047124962058,0.0069656071226103,0.000689411523567833,0.0105905245730594,6.92111449742291,0,0.000900124250709363,1.11390176266498,0.000289051849213538
