 Wavelength Refl Tran
 627 0.0593 0.0740 
 628 0.0591 0.0740 
 629 0.0590 0.0740 
 630 0.0590 0.0738 
 631 0.0589 0.0736 
 632 0.0586 0.0733 
 633 0.0585 0.0727 
 634 0.0585 0.0727 
 635 0.0585 0.0719 
 636 0.0580 0.0712 
 637 0.0578 0.0702 
 638 0.0577 0.0687 
 639 0.0572 0.0675 
 640 0.0570 0.0660 
 641 0.0565 0.0646 
 642 0.0563 0.0628 
 643 0.0559 0.0614 
 644 0.0557 0.0596 
 645 0.0552 0.0580 
 646 0.0549 0.0562 
 647 0.0545 0.0548 
 648 0.0545 0.0537 
 649 0.0545 0.0526 
 650 0.0541 0.0517 
 651 0.0539 0.0509 
 652 0.0535 0.0503 
 653 0.0534 0.0497 
 654 0.0534 0.0492 
 655 0.0535 0.0481 
 656 0.0534 0.0473 
 657 0.0529 0.0461 
 658 0.0526 0.0450 
 659 0.0525 0.0437 
 660 0.0522 0.0422 
 661 0.0520 0.0409 
 662 0.0516 0.0394 
 663 0.0516 0.0379 
 664 0.0515 0.0364 
 665 0.0513 0.0352 
 666 0.0509 0.0338 
 667 0.0509 0.0327 
 668 0.0511 0.0316 
 669 0.0508 0.0309 
 670 0.0503 0.0300 
 671 0.0505 0.0295 
 672 0.0503 0.0288 
 673 0.0506 0.0286 
 674 0.0502 0.0283 
 675 0.0504 0.0276 
 676 0.0504 0.0275 
 677 0.0502 0.0272 
 678 0.0505 0.0271 
 679 0.0505 0.0273 
 680 0.0504 0.0276 
 681 0.0507 0.0280 
 682 0.0503 0.0286 
 683 0.0507 0.0299 
 684 0.0504 0.0318 
 685 0.0512 0.0338 
 686 0.0515 0.0365 
 687 0.0518 0.0402 
 688 0.0526 0.0442 
 689 0.0537 0.0496 
 690 0.0548 0.0559 
 691 0.0561 0.0634 
 692 0.0584 0.0713 
 693 0.0609 0.0806 
 694 0.0646 0.0916 
 695 0.0686 0.1027 
 696 0.0730 0.1141 
 697 0.0782 0.1255 
 698 0.0850 0.1380 
 699 0.0912 0.1497 
 700 0.0986 0.1624 
 701 0.1055 0.1745 
 702 0.1128 0.1859 
 703 0.1203 0.1981 
 704 0.1289 0.2088 
 705 0.1375 0.2193 
 706 0.1456 0.2306 
 707 0.1534 0.2421 
 708 0.1630 0.2515 
 709 0.1713 0.2621 
 710 0.1802 0.2728 
 711 0.1900 0.2836 
 712 0.1986 0.2928 
 713 0.2077 0.3028 
 714 0.2171 0.3129 
 715 0.2260 0.3228 
 716 0.2367 0.3319 
 717 0.2456 0.3420 
 718 0.2535 0.3518 
 719 0.2641 0.3594 
 720 0.2722 0.3703 
 721 0.2818 0.3777 
 722 0.2909 0.3878 
 723 0.2994 0.3950 
 724 0.3077 0.4022 
 725 0.3164 0.4110 
 726 0.3240 0.4185 
 727 0.3316 0.4242 
 728 0.3381 0.4305 
 729 0.3454 0.4375 
 730 0.3522 0.4432 
 731 0.3562 0.4495 
 732 0.3614 0.4546 
 733 0.3687 0.4598 
 734 0.3742 0.4632 
 735 0.3787 0.4681 
 736 0.3822 0.4729 
 737 0.3868 0.4762 
 738 0.3914 0.4795 
 739 0.3950 0.4836 
 740 0.3983 0.4864 
 741 0.4018 0.4905 
 742 0.4023 0.4916 
 743 0.4064 0.4939 
 744 0.4092 0.4958 
 745 0.4096 0.4959 
 746 0.4132 0.4993 
 747 0.4135 0.4991 
 748 0.4158 0.5011 
 749 0.4166 0.5039 
 750 0.4169 0.5044 
 751 0.4199 0.5076 
 752 0.4215 0.5075 
 753 0.4236 0.5104 
 754 0.4241 0.5121 
 755 0.4243 0.5086 
 756 0.4248 0.5117 
 757 0.4242 0.5105 
 758 0.4257 0.5123 
 759 0.4269 0.5134 
 760 0.4291 0.5147 
 761 0.4270 0.5137 
 762 0.4264 0.5115 
 763 0.4281 0.5154 
 764 0.4281 0.5138 
 765 0.4291 0.5156 
 766 0.4294 0.5133 
 767 0.4294 0.5159 
 768 0.4295 0.5152 
 769 0.4294 0.5164 
 770 0.4308 0.5180 
 771 0.4298 0.5168 
 772 0.4310 0.5195 
 773 0.4312 0.5151 
 774 0.4308 0.5160 
 775 0.4297 0.5179 
 776 0.4279 0.5180 
 777 0.4308 0.5172 
 778 0.4309 0.5166 
 779 0.4298 0.5167 
 780 0.4290 0.5177 
 781 0.4312 0.5196 
 782 0.4307 0.5183 
 783 0.4307 0.5176 
 784 0.4300 0.5146 
 785 0.4303 0.5179 
 786 0.4296 0.5194 
 787 0.4317 0.5196 
 788 0.4318 0.5194 
 789 0.4316 0.5206 
 790 0.4298 0.5211 
 791 0.4326 0.5197 
 792 0.4313 0.5218 
 793 0.4298 0.5179 
 794 0.4321 0.5172 
 795 0.4321 0.5169 
 796 0.4303 0.5226 
 797 0.4287 0.5188 
 798 0.4276 0.5192 
 799 0.4278 0.5187 
 800 0.4295 0.5198 
 801 0.4296 0.5182 
 802 0.4322 0.5206 
 803 0.4310 0.5192 
 804 0.4308 0.5217 
 805 0.4348 0.5239 
 806 0.4310 0.5241 
 807 0.4311 0.5228 
 808 0.4325 0.5226 
 809 0.4281 0.5195 
 810 0.4312 0.5204 
 811 0.4305 0.5211 
 812 0.4282 0.5210 
 813 0.4297 0.5230 
 814 0.4300 0.5174 
 815 0.4314 0.5192 
 816 0.4303 0.5210 
 817 0.4294 0.5232 
 818 0.4284 0.5231 
 819 0.4293 0.5210 
 820 0.4265 0.5200 
 821 0.4307 0.5195 
 822 0.4256 0.5152 
 823 0.4293 0.5206 
 824 0.4322 0.5222 
 825 0.4332 0.5250 
 826 0.4335 0.5204 
 827 0.4322 0.5246 
 828 0.4327 0.5239 
 829 0.4283 0.5233 
 830 0.4282 0.5214 
 831 0.4330 0.5226 
 832 0.4287 0.5231 
 833 0.4295 0.5203 
 834 0.4281 0.5272 
 835 0.4342 0.5298 
 836 0.4251 0.5179 
 837 0.4292 0.5212 
 838 0.4298 0.5229 
 839 0.4348 0.5279 
 840 0.4304 0.5241 
 841 0.4278 0.5199 
 842 0.4317 0.5208 
 843 0.4273 0.5260 
 844 0.4298 0.5229 
 845 0.4275 0.5223 
 846 0.4287 0.5207 
 847 0.4319 0.5278 
 848 0.4308 0.5299 
 849 0.4316 0.5258 
 850 0.4353 0.5249 
 851 0.4309 0.5272 
 852 0.4354 0.5278 
 853 0.4336 0.5197 
 854 0.4303 0.5230 
 855 0.4296 0.5266 
 856 0.4318 0.5276 
 857 0.4301 0.5294 
 858 0.4299 0.5247 
 859 0.4278 0.5191 
 860 0.4260 0.5223 
 861 0.4294 0.5309 
 862 0.4299 0.5314 
 863 0.4303 0.5312 
 864 0.4299 0.5306 
 865 0.4296 0.5304 
 866 0.4293 0.5305 
 867 0.4295 0.5298 
 868 0.4301 0.5312 
 869 0.4279 0.5311 
 870 0.4285 0.5306 
 871 0.4288 0.5312 
 872 0.4298 0.5324 
 873 0.4290 0.5309 
 874 0.4285 0.5307 
 875 0.4288 0.5310 
 876 0.4291 0.5322 
 877 0.4290 0.5313 
 878 0.4277 0.5301 
 879 0.4281 0.5322 
 880 0.4291 0.5314 
 881 0.4284 0.5313 
 882 0.4282 0.5326 
 883 0.4285 0.5313 
 884 0.4285 0.5312 
 885 0.4282 0.5316 
 886 0.4292 0.5320 
 887 0.4285 0.5315 
 888 0.4286 0.5310 
 889 0.4284 0.5311 
 890 0.4280 0.5316 
 891 0.4284 0.5307 
 892 0.4281 0.5307 
 893 0.4285 0.5311 
 894 0.4287 0.5305 
 895 0.4291 0.5310 
 896 0.4282 0.5316 
 897 0.4284 0.5316 
 898 0.4284 0.5325 
 899 0.4288 0.5320 
 900 0.4280 0.5318 
 901 0.4283 0.5323 
 902 0.4288 0.5333 
 903 0.4277 0.5328 
 904 0.4278 0.5319 
 905 0.4281 0.5315 
 906 0.4283 0.5310 
 907 0.4273 0.5325 
 908 0.4272 0.5321 
 909 0.4279 0.5332 
 910 0.4288 0.5320 
 911 0.4272 0.5321 
 912 0.4274 0.5320 
 913 0.4276 0.5322 
 914 0.4277 0.5321 
 915 0.4267 0.5324 
 916 0.4263 0.5328 
 917 0.4268 0.5316 
 918 0.4277 0.5322 
 919 0.4274 0.5325 
 920 0.4277 0.5315 
 921 0.4266 0.5317 
 922 0.4265 0.5322 
 923 0.4274 0.5323 
 924 0.4271 0.5319 
 925 0.4272 0.5311 
 926 0.4270 0.5325 
 927 0.4272 0.5320 
 928 0.4277 0.5317 
 929 0.4269 0.5316 
 930 0.4261 0.5309 
 931 0.4266 0.5319 
 932 0.4265 0.5316 
 933 0.4266 0.5317 
 934 0.4258 0.5319 
 935 0.4248 0.5309 
 936 0.4253 0.5314 
 937 0.4247 0.5314 
 938 0.4249 0.5313 
 939 0.4242 0.5312 
 940 0.4252 0.5312 
 941 0.4246 0.5307 
 942 0.4248 0.5302 
 943 0.4249 0.5298 
 944 0.4246 0.5304 
 945 0.4251 0.5302 
 946 0.4230 0.5302 
 947 0.4247 0.5301 
 948 0.4243 0.5296 
 949 0.4229 0.5293 
 950 0.4231 0.5290 
 951 0.4221 0.5293 
 952 0.4211 0.5286 
 953 0.4212 0.5290 
 954 0.4212 0.5283 
 955 0.4219 0.5281 
