Variable.Name,standard_name,Units,Long.name,Category,var_type,dim1,dim2,dim3,dim4,Description,
reproductive_litter_carbon_content,reproductive_litter_carbon_content,kg C m-2,Reproductive Litter Carbon Content,Carbon Pools,real,lon,lat,time,NA,"Carbon content of reproductive litter pool (e.g. seeds, flowers, cones, pollen)",
other_litter_carbon_content,other_litter_carbon_content,kg C m-2,Other Litter Carbon Content,Carbon Pools,real,lon,lat,time,NA,Carbon content of uncategorized litter pool (e.g. insect excreta),
wood_debris_carbon_content,wood_debris_carbon_content,kg C m-2,Wood Debris Carbon Content,Carbon Pools,real,lon,lat,time,wdsize,Carbon content of downed woody debris and standing deadwood; excludes litter; size classes defined by wdsize dimension,
soil_carbon_content,soil_carbon_content_of_soil_layer,kg C m-2,Soil Carbon Content by Layer,Carbon Pools,real,lon,lat,time,depth,"Total carbon content of soil layer, excluding litter",
soil_inorganic_carbon_content,soil_inorganic_carbon_content_of_soil_layer,kg C m-2,Soil Inorganic Carbon Content by Layer,Carbon Pools,real,lon,lat,time,depth,Total inorganic carbon content of soil layer (mineralized carbon such as carbonate),
soil_organic_carbon_content,soil_organic_carbon_content_of_soil_layer,kg C m-2,Soil Organic Carbon Content by Layer,Carbon Pools,real,lon,lat,time,depth,"Total organic carbon content of soil layer, excluding litter",
slow_soil_pool_carbon_content,slow_soil_pool_carbon_content_of_soil_layer,kg C m-2,Slow Soil Pool Carbon Content by Layer,Carbon Pools,real,lon,lat,time,depth,Slow soil pool carbon content of soil layer,
fast_soil_pool_carbon_content,fast_soil_pool_carbon_content_of_soil_layer,kg C m-2,Fast Soil Pool Carbon Content by Layer,Carbon Pools,real,lon,lat,time,depth,Fast soil pool carbon content of soil layer,
structural_soil_pool_carbon_content,structural_soil_pool_carbon_content_of_soil_layer,kg C m-2,Structural Soil Pool Carbon Content by Layer,Carbon Pools,real,lon,lat,time,depth,Structural soil pool carbon content of soil layer,
soil_nitrogen_content,soil_nitrogen_content_of_soil_layer,kg N m-2,Soil Nitrogen Content by Layer,Nitrogen Pools,real,lon,lat,time,depth,Total nitrogen content of soil layer,
soil_phosphorus_content,soil_phosphorus_content_of_soil_layer,kg P m-2,Soil Phosphorus Content by Layer,Phosphorus Pools,real,lon,lat,time,depth,Total phosphorus content of soil layer,
Qh,NA,W m-2,Sensible heat,Energy Fluxes,real,lon,lat,time,NA,Sensible heat flux into the boundary layer (positive into atmosphere),
Qle,NA,W m-2,Latent heat,Energy Fluxes,real,lon,lat,time,NA,Latent heat flux into the boundary layer (positive into atmosphere),
Qg,NA,W m-2,Ground heat,Energy Fluxes,real,lon,lat,time,NA,Ground heat flux; ED2 output variable,
stomatal_conductance,NA,kg m-2 s-1,Stomatal Conductance,Energy Fluxes,real,lon,lat,time,NA,Rate of leaf conductance of water vapor from the leaf sub-stomatal cavities to the atmosphere,
Evap,NA,kg m-2 s-1,Total Evaporation,Energy Fluxes,real,lon,lat,time,NA,Sum of all evaporation sources (positive into atmosphere),
TVeg,NA,kg m-2 s-1,Transpiration,Deprecated,real,lon,lat,time,NA,"Deprecated, to be replaced by Transp. Total Plant transpiration (always positive)",
Transp,NA,kg m-2 s-1,Total transpiration,Energy Fluxes,real,lon,lat,time,pft,Total transpiration of each PFT within each grid cell,
LW_albedo,NA,(-),Longwave Albedo,Energy Fluxes,real,lon,lat,time,NA,Longwave Albedo,
SW_albedo,NA,(-),Shortwave Albedo,Energy Fluxes,real,lon,lat,time,NA,Shortwave albedo,
Lwnet,NA,W m-2,Net Longwave Radiation,Energy Fluxes,real,lon,lat,time,NA,Incident longwave radiation minus simulated outgoing longwave radiation (positive into grnd),
SWnet,NA,W m-2,Net shortwave radiation,Energy Fluxes,real,lon,lat,time,NA,Incident shortwave radiation minus simulated outgoing shortwave radiation (positive into grnd),
fPAR,NA,(-),Absorbed fraction incoming PAR,Energy Fluxes,real,lon,lat,time,NA,absorbed fraction incoming photosyntetically active radiation,
z_top,NA,m,Soil Layer Top Depth,Deprecated,real,depth,NA,NA,NA,Depth from soil surface to top of soil layer,
z_node,NA,m,Soil Layer Node Depth,Deprecated,real,depth,NA,NA,NA,"Depth from soil surface to layer prognostic variables, typically center of soil layer",
z_bottom,NA,m,Soil Layer Bottom Depth,Deprecated,real,depth,NA,NA,NA,Depth from soil surface to bottom of soil layer,
SoilMoist,NA,kg m-2,Average Layer Soil Moisture,Physical Variables,real,lon,lat,depth,time,"Soil water content in each soil layer, including liquid, vapor and ice",
SoilMoistFrac,NA,(-),Average Layer Fraction of Saturation,Physical Variables,real,lon,lat,depth,time,"Fraction of saturation of soil water in each soil layer, including liquid and ice",
SoilWet,NA,(-),Total Soil Wetness,Physical Variables,real,lon,lat,time,NA,Vertically integrated soil moisture divided by maximum allowable soil moisture above wilting point,
Qs,NA,kg m-2 s-1,Surface runoff,Physical Variables,real,lon,lat,time,NA,Runoff from the landsurface and/or subsurface stormflow,
Qsb,NA,kg m-2 s-1,Subsurface runoff,Physical Variables,real,lon,lat,time,NA,Gravity soil water drainage and/or soil water lateral flow,
SoilTemp,NA,K,Average Layer Soil Temperature,Physical Variables,real,lon,lat,depth,time,Average soil temperature in each soil layer,
Tdepth,NA,m,Active Layer Thickness,Physical Variables,real,lon,lat,time,NA,Thaw depth to zero centigrade isotherm in permafrost,
Fdepth,NA,m,Frozen Thickness,Physical Variables,real,lon,lat,time,NA,Freeze depth to zero centigrade isotherm in non-permafrost,
Tcan,NA,K,Canopy Temperature,Physical Variables,real,lon,lat,time,NA,Canopy or vegetation temperature (or temperature used in photosynthesis calculations),
SWE,NA,kg m-2,Snow Water Equivalent,Physical Variables,real,lon,lat,time,NA,"Total water mass of snow pack, including ice and liquid water",
SnowDen,NA,kg m-3,Bulk Snow Density,Physical Variables,real,lon,lat,time,NA,"Overall bulk density of the snow pack, including ice and liquid water",
SnowDepth,NA,m,Total snow depth,Physical Variables,real,lon,lat,time,NA,Total snow depth,
CO2CAS,NA,ppmv,CO2CAS,Physical Variables,real,lon,lat,time,NA,CO2 in canopy air space; ED2 output variable,
CO2air,NA,micromol mol-1,Near surface CO2 concentration,Driver,real,lon,lat,time,NA,Near surface dry air CO2 mole fraction,
LWdown,surface_downwelling_longwave_flux_in_air,W/m2,Surface incident longwave radiation,Driver,real,lon,lat,time,NA,Surface incident longwave radiation,
Psurf,air_pressure,Pa,Surface pressure,Driver,real,lon,lat,time,NA,Surface pressure,
Qair,specific_humidity,kg kg-1,Near surface specific humidity,Driver,real,lon,lat,time,NA,Near surface specific humidity,
Rainf,precipitation_flux,kg m-2 s-1,Rainfall rate,Driver,real,lon,lat,time,NA,Rainfall rate,
SWdown,surface_downwelling_shortwave_flux_in_air,W m-2,Surface incident shortwave radiation,Driver,real,lon,lat,time,NA,Surface incident shortwave radiation,
Tair,air_temperature,K,Near surface air temperature,Driver,real,lon,lat,time,NA,Near surface air temperature,
Wind,wind_speed,m s-1,Near surface module of the wind,Driver,real,lon,lat,time,NA,Near surface wind magnitude,
Tmin,air_temperature_max,K,Daily Maximum Temperature,Driver,real,lon,lat,time,NA,Daily Maximum Temperature,
Tmax,air_temperature_min,K,Daily Minimum Temperature,Driver,real,lon,lat,time,NA,Daily Minimum Temperature,
Uwind,northward_wind,m s-1,Northward Component of Wind,Driver,real,lon,lat,time,NA,Northward Component of Wind,
Vwind,eastward_wind,m s-1,Eastward Component of Wind,Driver,real,lon,lat,time,NA,Eastward Component of Wind,
RH,relative_humidity,%,Relative Humidity,Driver,real,lon,lat,time,NA,Relative Humidity,
PAR,surface_downwelling_photosynthetic_photon_flux_in_air,mol m-2 s-1,Photosynthetically Active Radiation,Driver,real,lon,lat,time,NA,Photosynthetically Active Radiation,
precipf,NA,kg m-2 s-1,Precipitation,Driver,real,lon,lat,time,NA,"The per unit area and time precipitation representing the sum of convective rainfall, stratiform rainfall, and snowfall",
BA,NA,m2 ha-1,Basal area,Diversity,real,lon,lat,time,pft,Basal area by PFT,
Dens,NA,1 ha-1,Stem Density,Diversity,real,lon,lat,time,pft,Stem Density by PFT,
DBH,NA,cm,Diameter at Breast Height,Diversity,real,lon,lat,time,pft,NA,DBH by PFT
Fcomp,NA,kgC kgC-1,Aboveground Biomass Fractional Composition,Diversity,real,lon,lat,time,pft,Aboveground biomass Fractional composition of each PFT within each grid cell,
Estab,NA,1 ha-1,New Individuals,Diversity,real,lon,lat,time,pft,New Individuals,
Mort,NA,1 ha-1,Mortality,Diversity,real,lon,lat,time,pft,Individuals lost through death,
SoilDepth,NA,m,Soil Depth Layer,Deprecated,real,depth,NA,NA,NA,Depth to the bottom of each model-defined soil layer,
assimilation_rate,NA,kg C m-2 s-1,Leaf assimilation rate,Carbon Fluxes,real,lon,lat,time,NA,Rate of leaf photosynthesis / carbon assimilation,
