wavelength_nm,refractive_index,specific_abs_coeff_chl,specific_abs_coeff_car,specific_abs_coeff_cw,specific_abs_coeff_cm
542,1.43457,0.01456,0,0.000503,2.3
543,1.43414,0.01447,0,0.000514,2.3
544,1.43372,0.01439,0,0.000527,2.3
545,1.43329,0.0143,0,0.000536,2.3
546,1.43285,0.01422,0,0.000544,2.3
547,1.43243,0.01414,0,0.000553,2.3
548,1.432,0.01406,0,0.000564,2.3
549,1.43157,0.01398,0,0.000576,2.3
550,1.43113,0.01392,0,0.000588,2.3
551,1.43069,0.01386,0,0.0006,2.3
552,1.43022,0.01382,0,0.000611,2.3
553,1.42973,0.0138,0,0.000622,2.3
554,1.42922,0.01379,0,0.000631,2.3
555,1.42867,0.01381,0,0.000639,2.3
556,1.42809,0.01384,0,0.000646,2.3
557,1.42747,0.0139,0,0.000652,2.3
558,1.42684,0.01398,0,0.000658,2.3
559,1.42619,0.01409,0,0.000665,2.3
560,1.42552,0.01421,0,0.000672,2.3
561,1.42483,0.01435,0,0.000679,2.3
562,1.42412,0.01451,0,0.000686,2.3
563,1.42342,0.01469,0,0.000692,2.3
564,1.42271,0.01489,0,0.000699,2.3
565,1.42201,0.01511,0,0.000708,2.3
566,1.42131,0.01535,0,0.000718,2.3
567,1.42061,0.01561,0,0.000726,2.3
568,1.41992,0.01589,0,0.000734,2.3
569,1.41923,0.01619,0,0.000745,2.3
570,1.41855,0.0165,0,0.000759,2.3
571,1.41791,0.01683,0,0.000773,2.3
572,1.41728,0.01716,0,0.000787,2.3
573,1.41668,0.01749,0,0.000802,2.3
574,1.41611,0.01782,0,0.000819,2.3
575,1.41558,0.01814,0,0.000839,2.3
576,1.41507,0.01846,0,0.000858,2.3
577,1.41459,0.01876,0,0.000875,2.3
578,1.41413,0.01905,0,0.000896,2.3
579,1.4137,0.01933,0,0.000924,2.3
580,1.4133,0.0196,0,0.000952,2.3
581,1.41294,0.01986,0,0.000975,2.3
582,1.4126,0.02011,0,0.001,2.3
583,1.41229,0.02035,0,0.00104,2.3
584,1.412,0.02058,0,0.00108,2.3
585,1.41172,0.02079,0,0.00112,2.3
586,1.41146,0.021,0,0.00116,2.3
587,1.41121,0.0212,0,0.0012,2.3
588,1.41097,0.02138,0,0.00125,2.3
589,1.41073,0.02155,0,0.0013,2.3
590,1.41049,0.02171,0,0.00136,2.3
